gene,HR,95% CI,p.value
ENSG00000090621,4.84,(1.2-19),0.0242
ENSG00000074842,12.2,(1.7-87),0.0125
ENSG00000148175,0.281,(0.15-0.52),5.6e-05
ENSG00000090382,0.56,(0.36-0.86),0.00883
ENSG00000125991,7.23,(1.7-31),0.00743
ENSG00000114686,19,(2.6-140),0.00382
ENSG00000189067,0.294,(0.16-0.56),0.000157
ENSG00000273642,13.1,(1.9-89),0.00851
ENSG00000277722,13.1,(1.9-89),0.00851
ENSG00000276061,13.1,(1.9-89),0.00851
ENSG00000170906,13.1,(1.9-89),0.00851
ENSG00000274359,13.1,(1.9-89),0.00851
ENSG00000275724,13.1,(1.9-89),0.00851
ENSG00000275605,13.1,(1.9-89),0.00851
ENSG00000278365,13.1,(1.9-89),0.00851
ENSG00000276220,13.1,(1.9-89),0.00851
ENSG00000276766,13.1,(1.9-89),0.00851
ENSG00000129559,22.2,(3.4-140),0.00115
ENSG00000285246,22.2,(3.4-140),0.00115
ENSG00000105677,36.8,(2.1-640),0.0134
ENSG00000122862,0.563,(0.33-0.96),0.0341
ENSG00000100804,33.4,(4.1-270),0.00108
ENSG00000135916,0.285,(0.1-0.78),0.0141
ENSG00000177700,4.78,(1.8-13),0.00145
ENSG00000154978,0.308,(0.14-0.67),0.00285
ENSG00000148737,2.78,(1.3-5.8),0.00676
ENSG00000176890,6.73,(1.8-25),0.00385
ENSG00000113328,4,(1.5-11),0.00624
ENSG00000127884,48.7,(5.8-410),0.000337
ENSG00000093072,0.265,(0.12-0.58),0.000855
ENSG00000038274,0.0939,(0.025-0.35),0.000424
ENSG00000167986,29.7,(4.3-200),0.000574
ENSG00000010256,21,(1.8-250),0.0156
ENSG00000147162,0.352,(0.13-0.98),0.0448
ENSG00000182220,0.337,(0.14-0.84),0.0195
ENSG00000185222,6.01,(1.8-20),0.00396
ENSG00000101557,5.6,(1.3-25),0.0226
ENSG00000143119,0.296,(0.14-0.63),0.00164
ENSG00000140105,0.316,(0.16-0.65),0.00156
ENSG00000135624,4.34,(1.1-18),0.0418
ENSG00000175203,0.0532,(0.0032-0.9),0.0417
ENSG00000100292,1.71,(1-2.9),0.0407
ENSG00000189060,6.19,(1.5-26),0.0126
ENSG00000182512,25.8,(3.2-210),0.00245
ENSG00000117523,18.6,(1.1-330),0.0459
ENSG00000206053,4.71,(1.6-13),0.00389
ENSG00000147533,0.241,(0.064-0.91),0.0352
ENSG00000182952,0.0341,(0.0026-0.44),0.0098
ENSG00000105583,18.3,(2.9-110),0.00184
ENSG00000127540,8.59,(1.2-59),0.0291
ENSG00000197858,6.08,(1.4-27),0.0172
ENSG00000058262,53.4,(5.4-530),0.000674
ENSG00000097033,5.1,(1.3-20),0.0184
ENSG00000163902,6.74,(1.5-30),0.0132
ENSG00000015285,0.0204,(0.00046-0.9),0.044
ENSG00000173726,3.84,(1.3-11),0.0125
ENSG00000137845,9.74,(1.3-71),0.0247
ENSG00000143970,0.14,(0.027-0.73),0.0195
ENSG00000228315,0.139,(0.032-0.6),0.00822
ENSG00000189171,4.07,(1.7-9.6),0.0013
ENSG00000089327,0.454,(0.22-0.94),0.0331
ENSG00000162433,0.616,(0.4-0.95),0.0276
ENSG00000168610,0.198,(0.083-0.47),0.000255
ENSG00000065000,27.8,(2.3-330),0.00839
ENSG00000170860,13.3,(2.7-67),0.00167
ENSG00000175166,6.21,(1.5-25),0.0103
ENSG00000198900,19.3,(1.1-340),0.0438
ENSG00000288512,0.598,(0.36-0.99),0.0437
ENSG00000159403,0.598,(0.36-0.99),0.0437
ENSG00000140350,7.29,(1.8-30),0.00561
ENSG00000099817,28.5,(3.1-260),0.00299
ENSG00000012660,0.427,(0.21-0.88),0.0217
ENSG00000158864,27.9,(2.8-280),0.00451
ENSG00000173334,0.149,(0.045-0.49),0.00172
ENSG00000126934,9.33,(1.4-60),0.019
ENSG00000225824,0.449,(0.24-0.84),0.0122
ENSG00000231939,0.449,(0.24-0.84),0.0122
ENSG00000179344,0.449,(0.24-0.84),0.0122
ENSG00000231286,0.449,(0.24-0.84),0.0122
ENSG00000206237,0.449,(0.24-0.84),0.0122
ENSG00000206302,0.449,(0.24-0.84),0.0122
ENSG00000233209,0.449,(0.24-0.84),0.0122
ENSG00000103811,0.517,(0.27-0.99),0.0458
ENSG00000173402,10.2,(3.4-31),3.8e-05
ENSG00000004059,15.5,(1.2-190),0.0337
ENSG00000213585,5.18,(1.8-15),0.00297
ENSG00000243147,7.55,(1.6-35),0.00956
ENSG00000165527,0.0946,(0.01-0.87),0.0373
ENSG00000091039,0.371,(0.17-0.83),0.0153
ENSG00000133606,0.0415,(0.0058-0.3),0.00152
ENSG00000100994,0.138,(0.021-0.91),0.0393
ENSG00000148154,0.148,(0.053-0.41),0.00027
ENSG00000124145,2.05,(1-4.1),0.0397
ENSG00000114209,10.3,(1.1-95),0.0391
ENSG00000136960,0.447,(0.27-0.73),0.00142
