gene,HR,95% CI,p.value
ENSG00000229861,2.73,(1-7.4),0.0499
ENSG00000204568,2.73,(1-7.4),0.0499
ENSG00000223775,2.73,(1-7.4),0.0499
ENSG00000226111,2.73,(1-7.4),0.0499
ENSG00000233813,2.73,(1-7.4),0.0499
ENSG00000227420,2.73,(1-7.4),0.0499
ENSG00000103549,5.77,(1.4-24),0.0162
ENSG00000166341,2.02,(1-4),0.0437
ENSG00000290878,0.614,(0.38-0.99),0.0436
ENSG00000110042,2.67,(1.5-4.7),0.00071
ENSG00000136425,3.08,(1.2-7.8),0.0178
ENSG00000147601,0.709,(0.53-0.94),0.019
ENSG00000288199,0.334,(0.16-0.69),0.00277
ENSG00000130592,0.334,(0.16-0.69),0.00277
ENSG00000112406,0.658,(0.46-0.93),0.0185
ENSG00000167193,2.84,(1.1-7.2),0.0274
ENSG00000112799,0.578,(0.36-0.93),0.0239
ENSG00000128309,2.02,(1.1-3.7),0.0228
ENSG00000138646,0.538,(0.38-0.77),0.000621
ENSG00000103966,0.514,(0.27-1),0.0485
ENSG00000143776,2.25,(1-4.9),0.0442
ENSG00000168807,0.229,(0.076-0.69),0.00865
ENSG00000260873,0.229,(0.076-0.69),0.00865
ENSG00000042493,0.63,(0.42-0.94),0.0247
ENSG00000126561,0.188,(0.076-0.47),0.000323
ENSG00000206297,0.593,(0.4-0.88),0.00886
ENSG00000232367,0.593,(0.4-0.88),0.00886
ENSG00000224212,0.593,(0.4-0.88),0.00886
ENSG00000230705,0.593,(0.4-0.88),0.00886
ENSG00000226173,0.593,(0.4-0.88),0.00886
ENSG00000227816,0.593,(0.4-0.88),0.00886
ENSG00000224748,0.593,(0.4-0.88),0.00886
ENSG00000168394,0.593,(0.4-0.88),0.00886
ENSG00000164683,1.6,(1.2-2.2),0.00457
ENSG00000115504,1.89,(1.1-3.2),0.0209
ENSG00000175602,0.477,(0.27-0.84),0.011
ENSG00000100342,0.393,(0.18-0.87),0.0208
ENSG00000115884,1.49,(1.1-2.1),0.0221
ENSG00000178585,2.48,(1-6.1),0.0494
ENSG00000277292,2.49,(1-6),0.0414
ENSG00000276293,2.49,(1-6),0.0414
ENSG00000166557,2.1,(1.1-4.1),0.0317
ENSG00000114388,3.71,(1.2-12),0.0247
ENSG00000196189,0.388,(0.15-0.99),0.0468
ENSG00000102760,0.754,(0.58-0.98),0.0346
ENSG00000274429,1.83,(1.3-2.6),0.00119
ENSG00000151208,1.83,(1.3-2.6),0.00119
ENSG00000160791,0.272,(0.11-0.65),0.00331
ENSG00000054983,1.54,(1-2.3),0.0375
ENSG00000092621,1.99,(1.1-3.5),0.0166
ENSG00000112149,0.513,(0.28-0.95),0.0336
ENSG00000115525,0.43,(0.23-0.81),0.00895
ENSG00000109519,0.193,(0.066-0.57),0.00279
ENSG00000198794,7.32,(2.3-24),0.000906
ENSG00000043143,0.427,(0.24-0.77),0.00484
ENSG00000155926,0.469,(0.28-0.78),0.00345
ENSG00000153487,3.93,(1.2-12),0.0199
ENSG00000171148,2.35,(1.1-5.1),0.0316
ENSG00000141682,0.734,(0.55-0.98),0.0341
ENSG00000110237,3.25,(1.3-7.9),0.00929
ENSG00000138615,0.504,(0.31-0.83),0.00681
ENSG00000137200,0.4,(0.16-0.99),0.0467
ENSG00000169245,0.707,(0.51-0.99),0.042
ENSG00000164048,0.512,(0.27-0.98),0.043
ENSG00000185420,2.24,(1.2-4.1),0.00861
ENSG00000150760,2.88,(1.3-6.2),0.0067
ENSG00000117528,1.67,(1-2.7),0.0435
ENSG00000160211,0.361,(0.15-0.84),0.0182
ENSG00000284841,1.76,(1.1-2.8),0.0164
ENSG00000181218,1.76,(1.1-2.8),0.0164
ENSG00000145604,1.63,(1.2-2.3),0.00434
ENSG00000123374,2.1,(1.1-4),0.0238
ENSG00000059588,2.07,(1-4.2),0.0407
ENSG00000187764,0.445,(0.25-0.79),0.00542
ENSG00000171608,0.41,(0.23-0.72),0.00202
ENSG00000154380,1.6,(1.1-2.4),0.0212
ENSG00000235915,0.499,(0.26-0.95),0.0337
ENSG00000223465,0.499,(0.26-0.95),0.0337
ENSG00000234514,0.499,(0.26-0.95),0.0337
ENSG00000226182,0.499,(0.26-0.95),0.0337
ENSG00000204482,0.499,(0.26-0.95),0.0337
ENSG00000206433,0.499,(0.26-0.95),0.0337
ENSG00000230791,0.499,(0.26-0.95),0.0337
ENSG00000231048,0.499,(0.26-0.95),0.0337
ENSG00000107290,0.0604,(0.015-0.24),6.33e-05
ENSG00000214022,2.76,(1.3-5.9),0.00925
ENSG00000148908,0.648,(0.46-0.92),0.0154
ENSG00000109445,0.387,(0.16-0.92),0.0327
ENSG00000120690,0.455,(0.22-0.93),0.03
ENSG00000277943,0.529,(0.33-0.84),0.00721
ENSG00000275824,0.529,(0.33-0.84),0.00721
ENSG00000275302,0.529,(0.33-0.84),0.00721
ENSG00000138443,3.1,(1-9.4),0.0455
ENSG00000102575,0.686,(0.48-0.97),0.0334
ENSG00000182054,2.2,(1.2-4.1),0.0143
ENSG00000211598,0.658,(0.49-0.88),0.00426
ENSG00000158164,1.39,(1.1-1.8),0.00947
ENSG00000171456,2.32,(1.1-4.8),0.0209
ENSG00000103051,3.8,(1.1-13),0.0303
ENSG00000132581,5.56,(1.5-21),0.0108
ENSG00000126217,3.85,(1.5-9.8),0.00459
ENSG00000153563,0.423,(0.22-0.83),0.0123
ENSG00000174684,3.92,(2.1-7.4),2.96e-05
ENSG00000013725,0.233,(0.085-0.64),0.00451
ENSG00000143258,3.96,(1.8-8.8),0.000731
ENSG00000205307,0.196,(0.07-0.55),0.00193
ENSG00000106635,0.283,(0.088-0.9),0.0328
ENSG00000149485,3.21,(1.7-6),0.000226
ENSG00000185811,0.0468,(0.0071-0.31),0.00143
ENSG00000197971,0.657,(0.44-0.98),0.0372
ENSG00000168818,0.431,(0.2-0.91),0.0272
ENSG00000198399,0.151,(0.061-0.37),4.04e-05
ENSG00000164068,6.57,(2.1-20),0.000998
ENSG00000164402,2.49,(1.2-5.2),0.0164
ENSG00000006576,0.462,(0.27-0.79),0.00454
ENSG00000162627,1.7,(1-2.8),0.0345
ENSG00000177383,2.45,(1.3-4.5),0.00373
ENSG00000240508,0.688,(0.51-0.92),0.0117
ENSG00000243594,0.688,(0.51-0.92),0.0117
ENSG00000240065,0.688,(0.51-0.92),0.0117
ENSG00000243067,0.688,(0.51-0.92),0.0117
ENSG00000240118,0.688,(0.51-0.92),0.0117
ENSG00000243958,0.688,(0.51-0.92),0.0117
ENSG00000242711,0.688,(0.51-0.92),0.0117
ENSG00000239836,0.688,(0.51-0.92),0.0117
ENSG00000157978,0.364,(0.18-0.75),0.00603
ENSG00000168268,1.78,(1.2-2.6),0.00331
ENSG00000162645,0.549,(0.36-0.83),0.00424
ENSG00000215305,3.43,(1.3-9),0.0125
ENSG00000198420,2.87,(1.2-7),0.0205
ENSG00000108599,0.337,(0.14-0.83),0.0181
ENSG00000274110,0.41,(0.23-0.72),0.00217
ENSG00000278154,0.41,(0.23-0.72),0.00217
ENSG00000276163,0.41,(0.23-0.72),0.00217
ENSG00000276053,0.41,(0.23-0.72),0.00217
ENSG00000167613,0.41,(0.23-0.72),0.00217
ENSG00000171161,2.92,(1-8.2),0.0412
ENSG00000198851,0.478,(0.26-0.89),0.0193
ENSG00000132906,4.11,(1-16),0.0458
ENSG00000113088,0.556,(0.34-0.91),0.02
ENSG00000185585,2.17,(1.1-4.3),0.0265
ENSG00000102871,0.324,(0.12-0.9),0.0301
ENSG00000143157,1.74,(1-2.9),0.0408
ENSG00000136451,1.94,(1.1-3.3),0.0131
ENSG00000126822,2.53,(1-6.2),0.0438
ENSG00000117228,0.753,(0.6-0.94),0.0135
ENSG00000108622,0.677,(0.47-0.98),0.0409
ENSG00000065882,0.401,(0.19-0.85),0.0171
ENSG00000162735,4.23,(1.4-13),0.01
ENSG00000176894,5.55,(2.4-13),4.42e-05
ENSG00000140374,1.73,(1-2.9),0.0357
ENSG00000126858,3.13,(1.4-7),0.00574
ENSG00000237052,0.332,(0.15-0.71),0.0046
ENSG00000234508,0.332,(0.15-0.71),0.0046
ENSG00000206314,0.332,(0.15-0.71),0.0046
ENSG00000234243,0.332,(0.15-0.71),0.0046
ENSG00000236697,0.332,(0.15-0.71),0.0046
ENSG00000213654,0.332,(0.15-0.71),0.0046
ENSG00000233490,0.332,(0.15-0.71),0.0046
ENSG00000064961,2.58,(1-6.5),0.0431
ENSG00000126803,0.64,(0.44-0.94),0.0226
ENSG00000095739,1.5,(1.1-2.1),0.0111
ENSG00000124659,0.334,(0.14-0.8),0.0144
ENSG00000104814,0.457,(0.27-0.78),0.004
ENSG00000282928,0.457,(0.27-0.78),0.004
ENSG00000167447,2.33,(1-5.3),0.0447
ENSG00000074696,1.62,(1.1-2.5),0.0256
ENSG00000180573,1.63,(1-2.5),0.0328
ENSG00000108947,2.31,(1.4-3.9),0.00197
ENSG00000111653,3.65,(1.5-9),0.00489
ENSG00000174233,4.23,(1.4-13),0.00983
ENSG00000069974,0.333,(0.13-0.85),0.0211
ENSG00000072609,0.546,(0.32-0.93),0.0272
ENSG00000122679,0.432,(0.23-0.81),0.0085
ENSG00000110031,0.615,(0.42-0.9),0.0122
ENSG00000163947,0.524,(0.3-0.91),0.0218
ENSG00000140968,0.63,(0.44-0.9),0.0119
ENSG00000001617,3.03,(1.2-7.6),0.0182
ENSG00000133243,3.02,(1.3-7),0.00985
ENSG00000204852,2.32,(1.1-5),0.0317
ENSG00000096717,0.545,(0.34-0.87),0.0119
ENSG00000125462,2.65,(1.6-4.5),0.000263
ENSG00000132591,3.49,(1.2-10),0.0221
ENSG00000134824,2.38,(1.2-4.7),0.0128
ENSG00000132819,0.496,(0.26-0.95),0.0355
ENSG00000167286,0.514,(0.33-0.81),0.00394
ENSG00000168961,0.603,(0.37-0.98),0.0416
ENSG00000213088,0.662,(0.47-0.93),0.0165
ENSG00000170476,0.43,(0.23-0.81),0.00843
ENSG00000084693,1.83,(1.1-3.1),0.0274
ENSG00000065357,0.4,(0.2-0.79),0.00848
ENSG00000087269,0.341,(0.13-0.87),0.0241
ENSG00000155957,0.447,(0.2-0.99),0.0462
ENSG00000117643,0.3,(0.14-0.65),0.00228
ENSG00000136213,0.331,(0.16-0.67),0.00202
ENSG00000116824,0.497,(0.31-0.81),0.00483
ENSG00000112343,0.454,(0.26-0.8),0.00628
ENSG00000135622,4.24,(1.7-10),0.00161
ENSG00000171345,1.38,(1.1-1.7),0.00193
ENSG00000133574,0.63,(0.42-0.94),0.0249
ENSG00000106089,6.72,(1.6-29),0.0107
ENSG00000135775,3.22,(1.2-8.7),0.0206
ENSG00000171700,0.494,(0.26-0.95),0.0336
ENSG00000142684,0.559,(0.31-0.99),0.0479
ENSG00000154217,0.586,(0.37-0.93),0.0226
ENSG00000149308,0.464,(0.22-0.98),0.0454
ENSG00000196712,4.72,(1.7-13),0.003
ENSG00000075945,1.91,(1.2-3.1),0.00933
ENSG00000102879,0.653,(0.47-0.91),0.0106
ENSG00000100307,0.396,(0.2-0.77),0.00657
ENSG00000288257,2.51,(1.5-4.3),0.000676
ENSG00000137868,2.51,(1.5-4.3),0.000676
ENSG00000142347,0.439,(0.24-0.79),0.00625
ENSG00000211898,0.577,(0.37-0.9),0.0154
ENSG00000183696,0.752,(0.57-0.99),0.0456
ENSG00000155792,0.586,(0.38-0.9),0.0148
ENSG00000173848,1.61,(1.1-2.3),0.00554
ENSG00000185527,0.31,(0.11-0.91),0.0328
ENSG00000077238,0.304,(0.17-0.55),9.26e-05
ENSG00000173914,3.1,(1.1-8.4),0.0268
ENSG00000274619,0.631,(0.44-0.91),0.0123
ENSG00000197766,0.631,(0.44-0.91),0.0123
ENSG00000181409,4.21,(1.3-14),0.0189
ENSG00000160908,0.35,(0.16-0.78),0.00982
ENSG00000143374,3.29,(1.1-9.7),0.031
ENSG00000111670,0.403,(0.25-0.66),0.000257
ENSG00000100721,0.471,(0.26-0.86),0.0137
ENSG00000290659,0.479,(0.31-0.73),0.000609
ENSG00000013364,0.53,(0.33-0.86),0.00983
ENSG00000079462,2.62,(1.2-5.7),0.0157
ENSG00000211973,0.574,(0.39-0.86),0.00638
ENSG00000123338,0.41,(0.24-0.69),0.000779
ENSG00000108700,0.605,(0.42-0.87),0.00663
ENSG00000171163,2.96,(1.3-7),0.0129
ENSG00000083223,0.283,(0.13-0.63),0.00198
ENSG00000205978,2.02,(1.1-3.9),0.0351
ENSG00000100109,0.177,(0.045-0.69),0.0125
ENSG00000197386,0.28,(0.11-0.71),0.00746
ENSG00000102870,2.21,(1-4.9),0.0495
ENSG00000176170,0.411,(0.19-0.88),0.0213
ENSG00000084731,3.03,(1.2-7.6),0.0173
ENSG00000167695,2.33,(1.1-4.8),0.0201
ENSG00000164442,1.57,(1-2.4),0.0292
ENSG00000074181,1.88,(1.1-3.2),0.0225
ENSG00000105255,2.56,(1.3-5.2),0.00862
ENSG00000256043,0.65,(0.42-1),0.0478
ENSG00000263238,0.65,(0.42-1),0.0478
ENSG00000004468,0.418,(0.22-0.8),0.00874
ENSG00000183735,0.506,(0.29-0.89),0.0173
ENSG00000072786,0.309,(0.16-0.58),0.000273
ENSG00000101928,0.591,(0.35-0.99),0.0464
ENSG00000125482,0.455,(0.24-0.86),0.0157
ENSG00000182979,1.74,(1.1-2.8),0.0229
ENSG00000132640,1.77,(1.2-2.6),0.00429
ENSG00000005059,0.655,(0.44-0.98),0.042
ENSG00000088448,0.394,(0.17-0.94),0.0348
ENSG00000105538,0.26,(0.12-0.59),0.00116
ENSG00000130755,0.594,(0.41-0.87),0.00683
ENSG00000169249,0.316,(0.13-0.77),0.0111
ENSG00000165140,0.568,(0.35-0.93),0.0243
ENSG00000122861,0.589,(0.36-0.95),0.0297
ENSG00000123609,0.754,(0.57-0.99),0.0414
ENSG00000149499,0.37,(0.15-0.94),0.0368
ENSG00000174744,0.192,(0.052-0.7),0.0128
ENSG00000187601,1.81,(1-3.2),0.0443
ENSG00000168685,0.638,(0.45-0.91),0.0132
ENSG00000169242,1.68,(1.3-2.2),0.000211
ENSG00000100105,2.06,(1.2-3.5),0.00844
ENSG00000028137,0.503,(0.3-0.85),0.00992
ENSG00000172183,0.584,(0.37-0.92),0.0199
ENSG00000124920,1.57,(1.1-2.3),0.0168
ENSG00000165801,4.08,(1.7-9.5),0.00113
ENSG00000139278,0.678,(0.48-0.96),0.027
ENSG00000157259,2.57,(1.4-4.7),0.00227
ENSG00000102743,2.29,(1.2-4.3),0.0104
ENSG00000171860,0.562,(0.34-0.93),0.0259
ENSG00000160746,3.79,(1.3-11),0.0129
ENSG00000198382,0.492,(0.26-0.95),0.0333
ENSG00000133794,0.253,(0.096-0.66),0.00516
ENSG00000101407,2.38,(1.1-5.3),0.0343
ENSG00000100055,0.448,(0.24-0.82),0.00964
ENSG00000162894,0.497,(0.27-0.91),0.023
ENSG00000288324,2.67,(1.1-6.3),0.0249
ENSG00000072071,2.67,(1.1-6.3),0.0249
ENSG00000125347,0.554,(0.34-0.9),0.0175
ENSG00000174175,0.383,(0.16-0.89),0.0259
ENSG00000105369,0.422,(0.22-0.82),0.0114
ENSG00000213445,0.262,(0.1-0.67),0.00485
ENSG00000081237,0.764,(0.62-0.95),0.0136
ENSG00000262418,0.764,(0.62-0.95),0.0136
ENSG00000148773,1.97,(1.1-3.5),0.0218
ENSG00000081307,2.85,(1.1-7.4),0.0326
ENSG00000075884,0.599,(0.39-0.91),0.017
ENSG00000277807,0.377,(0.17-0.84),0.0164
ENSG00000274669,0.377,(0.17-0.84),0.0164
ENSG00000276452,0.377,(0.17-0.84),0.0164
ENSG00000277134,0.377,(0.17-0.84),0.0164
ENSG00000104972,0.377,(0.17-0.84),0.0164
ENSG00000110719,0.562,(0.34-0.93),0.0254
ENSG00000276561,0.545,(0.35-0.85),0.00719
ENSG00000185507,0.545,(0.35-0.85),0.00719
ENSG00000197461,0.631,(0.41-0.97),0.0345
ENSG00000129204,0.334,(0.16-0.68),0.00246
ENSG00000101347,0.407,(0.21-0.81),0.00994
ENSG00000100418,0.37,(0.17-0.8),0.0116
ENSG00000284194,0.465,(0.23-0.94),0.0335
ENSG00000095261,0.456,(0.28-0.74),0.00138
ENSG00000278788,0.22,(0.06-0.81),0.0229
ENSG00000064932,0.22,(0.06-0.81),0.0229
ENSG00000095066,3.22,(1.7-6.1),0.000363
ENSG00000066294,0.498,(0.26-0.96),0.0368
ENSG00000126246,0.38,(0.18-0.8),0.0111
ENSG00000099331,0.277,(0.088-0.87),0.0285
ENSG00000134910,3.43,(1.4-8.2),0.00545
ENSG00000185917,2.52,(1.1-5.7),0.0271
ENSG00000204634,0.589,(0.38-0.92),0.0197
ENSG00000166886,2.43,(1.1-5.5),0.032
ENSG00000154310,1.49,(1-2.1),0.0273
ENSG00000110583,3.42,(1.3-8.9),0.0113
ENSG00000043462,0.546,(0.32-0.92),0.0225
ENSG00000111252,0.594,(0.4-0.88),0.00849
ENSG00000271503,0.602,(0.44-0.83),0.00171
ENSG00000274233,0.602,(0.44-0.83),0.00171
ENSG00000124120,3.59,(1.4-9.2),0.00779
ENSG00000165804,2.23,(1.2-4.3),0.0167
ENSG00000281877,0.226,(0.086-0.59),0.00254
ENSG00000117676,0.226,(0.086-0.59),0.00254
ENSG00000110324,0.636,(0.45-0.9),0.00969
ENSG00000083799,0.577,(0.37-0.91),0.0177
ENSG00000160781,1.96,(1.2-3.3),0.0129
ENSG00000132109,0.336,(0.12-0.91),0.0319
ENSG00000169093,3.41,(1.2-9.4),0.0175
ENSG00000173540,0.244,(0.074-0.81),0.0211
ENSG00000135596,0.429,(0.22-0.83),0.0113
ENSG00000124006,1.93,(1.3-3),0.00243
ENSG00000121068,2.58,(1.1-6.3),0.0386
ENSG00000182580,5.94,(2.4-15),0.000117
ENSG00000102021,0.18,(0.05-0.64),0.00797
ENSG00000140743,0.536,(0.32-0.9),0.0189
ENSG00000122122,0.366,(0.2-0.67),0.00112
ENSG00000275779,0.401,(0.17-0.93),0.0343
ENSG00000157045,0.401,(0.17-0.93),0.0343
ENSG00000102158,2.09,(1.1-4),0.025
ENSG00000054793,1.88,(1.3-2.8),0.0021
ENSG00000235602,0.7,(0.53-0.93),0.0128
ENSG00000170265,5.48,(2-15),0.00104
ENSG00000162836,2.91,(1.6-5.3),0.000494
ENSG00000157152,0.311,(0.11-0.85),0.0226
ENSG00000138078,2.15,(1.3-3.6),0.0041
ENSG00000076662,0.528,(0.32-0.87),0.0115
ENSG00000069424,0.342,(0.12-0.94),0.0366
ENSG00000110881,4.09,(1.2-14),0.0216
ENSG00000163344,4.23,(1.1-16),0.0364
ENSG00000275990,0.452,(0.25-0.82),0.00919
ENSG00000100365,0.452,(0.25-0.82),0.00919
ENSG00000284501,2.37,(1.2-4.8),0.0161
ENSG00000161013,2.37,(1.2-4.8),0.0161
ENSG00000149179,2.36,(1.2-4.7),0.0154
ENSG00000184867,1.56,(1-2.4),0.0467
ENSG00000223448,0.579,(0.37-0.92),0.0195
ENSG00000236925,0.579,(0.37-0.92),0.0195
ENSG00000204487,0.579,(0.37-0.92),0.0195
ENSG00000231314,0.579,(0.37-0.92),0.0195
ENSG00000227507,0.579,(0.37-0.92),0.0195
ENSG00000238114,0.579,(0.37-0.92),0.0195
ENSG00000236237,0.579,(0.37-0.92),0.0195
ENSG00000206437,0.579,(0.37-0.92),0.0195
ENSG00000143179,1.84,(1.1-3),0.0133
ENSG00000132970,1.78,(1.1-2.9),0.0255
ENSG00000085998,3.54,(1.3-9.5),0.0125
ENSG00000088827,0.413,(0.19-0.92),0.0294
ENSG00000197943,0.478,(0.25-0.9),0.0225
ENSG00000017260,2.52,(1-6.1),0.0387
ENSG00000115526,2.97,(1-8.6),0.0442
ENSG00000141756,1.68,(1-2.8),0.0486
ENSG00000136867,0.528,(0.33-0.85),0.0084
ENSG00000171316,1.89,(1.3-2.8),0.00113
ENSG00000012124,0.247,(0.064-0.96),0.0434
ENSG00000106852,0.393,(0.16-0.99),0.047
ENSG00000233564,2.86,(1.2-6.9),0.019
ENSG00000223887,2.86,(1.2-6.9),0.019
ENSG00000228186,2.86,(1.2-6.9),0.019
ENSG00000204576,2.86,(1.2-6.9),0.019
ENSG00000206491,2.86,(1.2-6.9),0.019
ENSG00000229202,2.86,(1.2-6.9),0.019
ENSG00000223766,2.86,(1.2-6.9),0.019
ENSG00000126003,1.74,(1.1-2.9),0.0284
ENSG00000129675,0.492,(0.3-0.79),0.00358
ENSG00000136231,1.45,(1.1-1.9),0.00836
ENSG00000131203,0.48,(0.24-0.95),0.0348
ENSG00000101350,2.1,(1.1-4),0.0222
ENSG00000171476,0.665,(0.49-0.91),0.0112
ENSG00000152990,2.22,(1.4-3.5),0.000772
ENSG00000075975,3.33,(1.4-8.1),0.00807
ENSG00000115993,0.477,(0.23-0.99),0.0469
ENSG00000102935,1.63,(1.1-2.5),0.0256
ENSG00000100417,2.4,(1.1-5.3),0.0294
ENSG00000154511,0.68,(0.46-1),0.0489
ENSG00000143514,2.3,(1.5-3.6),0.000376
ENSG00000198353,2.44,(1.2-4.9),0.0135
ENSG00000158296,4.7,(1.1-21),0.0395
ENSG00000030110,0.428,(0.18-0.99),0.0482
ENSG00000169696,2.29,(1.2-4.4),0.0147
ENSG00000140263,1.76,(1.3-2.4),0.00078
ENSG00000164543,0.585,(0.36-0.95),0.0319
ENSG00000143156,2.13,(1.2-3.8),0.00998
ENSG00000106785,0.466,(0.3-0.73),0.000779
ENSG00000206285,0.184,(0.056-0.61),0.00546
ENSG00000235155,0.184,(0.056-0.61),0.00546
ENSG00000236802,0.184,(0.056-0.61),0.00546
ENSG00000235863,0.184,(0.056-0.61),0.00546
ENSG00000226936,0.184,(0.056-0.61),0.00546
ENSG00000168077,3.07,(1.3-7.3),0.0114
ENSG00000160223,0.0979,(0.021-0.46),0.00306
ENSG00000145016,0.56,(0.33-0.95),0.0315
ENSG00000183248,3.07,(1.7-5.5),0.000194
ENSG00000241386,0.429,(0.2-0.94),0.0351
ENSG00000243612,0.429,(0.2-0.94),0.0351
ENSG00000243496,0.429,(0.2-0.94),0.0351
ENSG00000239457,0.429,(0.2-0.94),0.0351
ENSG00000241910,0.429,(0.2-0.94),0.0351
ENSG00000241106,0.429,(0.2-0.94),0.0351
ENSG00000135842,0.538,(0.3-0.96),0.0343
ENSG00000100599,0.367,(0.2-0.68),0.00158
ENSG00000126970,3.35,(1.3-8.7),0.0129
ENSG00000101911,0.551,(0.38-0.8),0.00153
ENSG00000137265,0.339,(0.16-0.7),0.00377
ENSG00000103490,0.606,(0.41-0.89),0.011
ENSG00000076356,1.55,(1.2-2),0.000942
ENSG00000151693,1.47,(1-2.1),0.0399
ENSG00000108405,0.136,(0.031-0.59),0.00752
ENSG00000104833,0.622,(0.42-0.91),0.0153
ENSG00000112936,0.747,(0.57-0.98),0.0363
ENSG00000166411,0.455,(0.21-0.96),0.04
ENSG00000008300,3.22,(1.3-8.2),0.0141
ENSG00000090097,2.32,(1.4-3.8),0.00062
ENSG00000130559,2.58,(1.3-5.1),0.00699
ENSG00000132670,3.85,(1.3-12),0.0162
ENSG00000102109,1.81,(1.3-2.6),0.00111
ENSG00000065361,1.38,(1-1.9),0.0397
ENSG00000187605,3.51,(1.3-9.5),0.0132
ENSG00000198909,0.199,(0.043-0.91),0.038
ENSG00000197594,0.597,(0.38-0.95),0.0296
ENSG00000184349,2.92,(1.1-7.4),0.0245
ENSG00000018189,0.242,(0.075-0.78),0.0178
ENSG00000128604,0.159,(0.045-0.56),0.00409
ENSG00000184060,0.437,(0.24-0.81),0.00816
ENSG00000163219,0.501,(0.3-0.84),0.00816
ENSG00000102445,0.457,(0.23-0.92),0.0283
ENSG00000105428,0.194,(0.039-0.96),0.0443
ENSG00000139725,0.351,(0.16-0.75),0.00683
ENSG00000228716,1.86,(1-3.3),0.0356
ENSG00000128266,2.88,(1.3-6.6),0.0126
ENSG00000180644,0.482,(0.27-0.86),0.013
ENSG00000159231,0.486,(0.29-0.82),0.00635
ENSG00000163539,2.65,(1.2-5.8),0.0136
ENSG00000050748,2.25,(1.1-4.4),0.0191
ENSG00000151650,0.285,(0.1-0.81),0.0181
ENSG00000116729,1.5,(1.1-2.1),0.0195
ENSG00000048540,1.72,(1.2-2.4),0.00196
ENSG00000145945,0.283,(0.088-0.91),0.0344
ENSG00000175040,0.615,(0.39-0.97),0.0353
ENSG00000166228,1.55,(1-2.4),0.0397
ENSG00000248487,2.64,(1.1-6.3),0.0283
ENSG00000158050,0.535,(0.29-0.98),0.0414
ENSG00000262406,0.767,(0.6-0.99),0.0389
ENSG00000188404,0.662,(0.47-0.94),0.02
ENSG00000183508,0.565,(0.33-0.98),0.0419
ENSG00000137076,0.394,(0.18-0.87),0.0204
ENSG00000203950,3.4,(1.4-8.3),0.00685
ENSG00000156127,0.344,(0.15-0.78),0.0112
ENSG00000004776,0.391,(0.17-0.89),0.0244
ENSG00000083454,0.298,(0.12-0.74),0.00905
ENSG00000184678,1.65,(1.1-2.5),0.019
ENSG00000213413,0.385,(0.19-0.8),0.00988
ENSG00000089639,0.309,(0.12-0.78),0.0134
ENSG00000227051,1.71,(1.2-2.5),0.00625
ENSG00000078295,1.76,(1-3),0.035
ENSG00000078081,0.643,(0.45-0.92),0.0162
ENSG00000178498,4.18,(1.2-15),0.0297
ENSG00000196422,2.35,(1.1-5.1),0.0307
ENSG00000091129,2.42,(1.7-3.5),3.91e-06
ENSG00000137077,0.613,(0.41-0.91),0.0144
ENSG00000089060,0.276,(0.082-0.93),0.0382
ENSG00000135744,1.31,(1.1-1.6),0.0163
ENSG00000095539,1.87,(1.1-3.1),0.0172
ENSG00000142182,0.722,(0.56-0.93),0.0108
ENSG00000010671,0.191,(0.07-0.52),0.0012
ENSG00000130193,3.31,(1.1-10),0.0345
ENSG00000170412,2.61,(1.2-5.7),0.0164
ENSG00000143416,1.69,(1.1-2.6),0.0143
ENSG00000123146,0.499,(0.29-0.86),0.0126
ENSG00000064490,1.88,(1.1-3.3),0.0315
ENSG00000161281,0.462,(0.29-0.75),0.00155
ENSG00000149657,3.28,(1.3-8.2),0.0109
ENSG00000086730,0.457,(0.24-0.88),0.0185
ENSG00000101844,0.414,(0.17-0.99),0.0463
ENSG00000079805,0.451,(0.21-0.96),0.0402
ENSG00000134996,0.493,(0.27-0.91),0.0231
ENSG00000159164,2.61,(1.5-4.5),0.000613
ENSG00000069399,0.522,(0.31-0.87),0.0135
ENSG00000138175,1.69,(1-2.8),0.0339
ENSG00000188352,3.47,(1.9-6.2),3.14e-05
ENSG00000157184,2.81,(1.1-7),0.0273
ENSG00000127914,1.96,(1.2-3.3),0.0127
ENSG00000121964,0.234,(0.07-0.79),0.0187
ENSG00000110876,0.517,(0.32-0.83),0.00692
ENSG00000285372,2.05,(1.1-3.7),0.0166
ENSG00000173273,2.05,(1.1-3.7),0.0166
ENSG00000104903,0.212,(0.068-0.66),0.00732
ENSG00000160883,0.236,(0.092-0.61),0.00271
ENSG00000102032,0.261,(0.12-0.56),0.000496
ENSG00000020633,0.375,(0.19-0.73),0.00387
ENSG00000158270,1.55,(1.1-2.2),0.0105
ENSG00000165168,0.546,(0.35-0.85),0.00742
ENSG00000095303,0.29,(0.11-0.73),0.0089
ENSG00000162777,0.645,(0.44-0.96),0.0289
ENSG00000147202,0.59,(0.4-0.88),0.00888
ENSG00000134470,0.315,(0.14-0.7),0.0048
ENSG00000204128,2.09,(1.2-3.5),0.00619
ENSG00000172543,0.252,(0.094-0.68),0.00634
ENSG00000120899,0.31,(0.13-0.73),0.00752
ENSG00000157895,3.92,(1.3-12),0.0184
ENSG00000123191,2.95,(1.7-5),5.86e-05
ENSG00000106772,0.566,(0.35-0.93),0.0236
