,ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B
HSD11B2,ENSG00000176387,0.259559502,6.322046315,0.984872649,0.332260529,0.581526948,-6.829831112
GABRA3,ENSG00000011677,0.259083884,5.494551433,0.851208701,0.401137389,0.656977671,-6.952581776
CBLB,ENSG00000114423,0.259059062,9.238443917,0.635259049,0.529889835,0.770403061,-7.114575404
KLF3,ENSG00000109787,0.259001803,7.284941158,1.720462344,0.095250439,0.245298982,-5.867881726
STAG1,ENSG00000118007,0.258778936,8.453611754,0.976993051,0.336085104,0.585489618,-6.837535304
GPR171,ENSG00000174946,0.25859295,5.644839543,0.838200885,0.408291594,0.664140112,-6.963619458
PLEC,ENSG00000178209,0.258374729,8.822777064,1.626585687,0.113881159,0.277942962,-6.015964523
ELOVL1,ENSG00000066322,0.258120903,8.145859069,0.959877916,0.344494363,0.594857235,-6.854068792
COQ4,ENSG00000167113,0.258003468,7.814154052,1.273557506,0.212223863,0.434422248,-6.508244827
EVC,ENSG00000072840,0.257965091,7.321666766,1.326276575,0.194372395,0.408621192,-6.441456049
LUC7L3,ENSG00000108848,0.257902605,10.30058266,0.745931212,0.461290654,0.713111854,-7.037229982
SYT12,ENSG00000173227,0.257652114,7.327869758,1.348304294,0.187264786,0.398177343,-6.412832894
E2F5,ENSG00000133740,0.257392535,7.749981574,0.675343749,0.504430584,0.751750746,-7.087950829
TLR1,ENSG00000174125,0.257248738,4.989692483,0.963028806,0.342935733,0.593119865,-6.851045649
USF2,ENSG00000105698,0.257230169,9.846003827,0.951023997,0.348899405,0.599970644,-6.862513744
STON1,ENSG00000243244,0.257182684,5.507162791,1.183858299,0.245407621,0.476612335,-6.616247615
RALA,ENSG00000006451,0.257182182,8.086590045,0.606722123,0.548423806,0.783407907,-7.132562535
GTF3A,ENSG00000122034,0.257117109,10.57323829,1.070078906,0.292789953,0.536014722,-6.742827358
CRHBP,ENSG00000145708,0.25705933,6.331379528,1.093911918,0.28236482,0.52294242,-6.71729042
ZNF428,ENSG00000131116,0.257008516,8.460797356,0.752260849,0.457530529,0.709979959,-7.032443986
TMEM260,ENSG00000070269,0.256968783,8.621759247,0.707854123,0.484288882,0.733859495,-7.065196312
C6orf47,ENSG00000203623,0.256832229,7.896633987,1.237015334,0.225308603,0.45134167,-6.553106612
AGO2,ENSG00000123908,0.256716597,7.114402106,0.891902775,0.379270154,0.633891797,-6.917005479
RPS10,ENSG00000124614,0.256340899,13.67023803,1.259333575,0.217247021,0.441550717,-6.525847344
SNX15,ENSG00000110025,0.25603301,6.876079798,1.220087662,0.23157094,0.459541162,-6.573487246
RAD23B,ENSG00000119318,0.255933061,9.732839354,0.726397966,0.473007879,0.724716169,-7.051753372
TRPM2,ENSG00000142185,0.255543745,7.318615602,1.182999369,0.245742894,0.476884774,-6.617247111
RPS23,ENSG00000186468,0.255475497,13.30138065,1.390417508,0.174238527,0.378397068,-6.356946187
MAPK11,ENSG00000185386,0.255468848,7.995620882,1.230987344,0.227523945,0.454508659,-6.560393417
ATP5ME,ENSG00000169020,0.255340038,10.22614399,0.893342867,0.378510647,0.63294189,-6.915717552
IL18RAP,ENSG00000115607,0.254391768,6.047197341,0.779852805,0.441351739,0.694806534,-7.011126085
SH2D1A,ENSG00000183918,0.25413799,6.444571012,1.076630086,0.289897648,0.53207934,-6.735859812
PAQR5,ENSG00000137819,0.254136958,4.971135135,0.923834497,0.362660292,0.615258558,-6.88798523
SMYD5,ENSG00000135632,0.253706411,8.358076596,1.251274609,0.220132553,0.445016839,-6.535741323
KLK7,ENSG00000169035,0.253488402,6.660787831,1.233895025,0.226453321,0.453050369,-6.556882559
CLDN3,ENSG00000165215,0.253394825,7.19920661,1.499335407,0.143834911,0.329867228,-6.205423176
DNAJC13,ENSG00000138246,0.253366084,8.472408107,0.66171499,0.513010189,0.758390609,-7.097180861
TGFBRAP1,ENSG00000135966,0.253321918,7.535524265,1.084777127,0.286328999,0.528303917,-6.727139938
PPP1R1A,ENSG00000135447,0.253288613,6.827767877,0.889281416,0.380655186,0.635489707,-6.919344788
TOP1,ENSG00000198900,0.252915587,9.990626287,1.08343213,0.286915994,0.528851602,-6.728583706
TIMM44,ENSG00000104980,0.252479123,7.903315713,0.902562473,0.3736715,0.627486103,-6.907425375
ATAD2B,ENSG00000119778,0.252472261,7.241555128,0.791042045,0.434889933,0.687959577,-7.002270683
IKZF1,ENSG00000185811,0.252392624,8.445725346,1.186991207,0.244187581,0.475144467,-6.612596379
IHH,ENSG00000163501,0.252240477,8.04729045,1.332775981,0.19225398,0.405178302,-6.433054333
PTS,ENSG00000150787,0.252194338,9.138916186,0.861700802,0.395424685,0.651133384,-6.943560612
EMP2,ENSG00000213853,0.252101638,7.848681718,0.874037444,0.388773977,0.642901595,-6.932818787
EMCN,ENSG00000164035,0.251739382,5.889579735,1.345539593,0.188145667,0.399220977,-6.416448429
AP2M1,ENSG00000161203,0.25167909,10.7937092,1.15608146,0.256421139,0.489639992,-6.648233655
TICAM1,ENSG00000127666,0.251544053,6.302436087,1.225743589,0.22946428,0.456856144,-6.566705955
ST3GAL6,ENSG00000064225,0.251386734,5.118465839,0.660738602,0.513627893,0.758707771,-7.097835096
PFDN4,ENSG00000101132,0.251287237,9.170032327,0.864714837,0.393793191,0.649477743,-6.940949647
TNK2,ENSG00000061938,0.251228045,8.927416411,0.744528407,0.462126435,0.713877508,-7.038285396
FTH1,ENSG00000167996,0.251075526,11.71731699,0.736444687,0.466959898,0.719398184,-7.044329898
TINAGL1,ENSG00000142910,0.25104635,7.714681508,1.083339593,0.286956412,0.528851602,-6.728682978
CSF3R,ENSG00000119535,0.251021177,6.309369824,0.960209926,0.344329907,0.594661111,-6.853750683
KCNAB2,ENSG00000069424,0.250853256,8.030068928,0.80349075,0.427768494,0.681791025,-6.992276166
IL21R,ENSG00000103522,0.250840693,5.964789107,1.032605666,0.309724173,0.554645923,-6.781921257
ZNF492,ENSG00000229676,0.250832476,5.299742059,0.532534701,0.598127069,0.815933241,-7.175538009
ADAMTSL3,ENSG00000156218,0.250682258,6.553194735,0.491076177,0.626808105,0.83541376,-7.197160022
ARFGEF2,ENSG00000124198,0.250670241,8.851359088,0.953168711,0.347828928,0.598923979,-6.860474869
TMEM115,ENSG00000126062,0.250440239,7.566583817,1.175840244,0.248550478,0.480566698,-6.62555205
EIF3D,ENSG00000100353,0.250382344,10.79138427,0.825454277,0.415378933,0.670986176,-6.974277847
IFRD2,ENSG00000214706,0.250298309,9.111671905,1.012034567,0.319303521,0.566109892,-6.802828863
THOC2,ENSG00000125676,0.250274122,8.519960258,0.729435072,0.471174831,0.722854835,-7.049519658
BANF1,ENSG00000175334,0.250189439,11.09711207,1.253200443,0.219440395,0.443930739,-6.5333822
KCNMA1,ENSG00000156113,0.249942953,6.419294495,0.88375348,0.383586612,0.638894869,-6.924256483
SCAMP1,ENSG00000085365,0.249623653,9.545774516,1.220358134,0.231469871,0.45950842,-6.573163608
PPIH,ENSG00000171960,0.249598917,9.173234664,0.760970699,0.452386046,0.704744471,-7.025794523
CX3CL1,ENSG00000006210,0.249395688,7.654167269,1.043802902,0.304594436,0.548997946,-6.770375774
TRAC,ENSG00000277734,0.248358523,8.720387189,0.558098024,0.580759283,0.803836599,-7.161348864
FOXF2,ENSG00000137273,0.248257064,6.356676782,0.986349011,0.331547229,0.580704101,-6.828381147
ATP5MC1,ENSG00000159199,0.248113427,9.393155402,0.982188273,0.33356014,0.582521534,-6.832462264
PLPPR1,ENSG00000148123,0.248019119,6.698437181,0.41525145,0.680798819,0.866366942,-7.232236383
TIMM10,ENSG00000134809,0.247773418,8.98701611,1.156754113,0.256150244,0.489276214,-6.647467293
ANKRD46,ENSG00000186106,0.247769984,7.816391185,0.782549013,0.439789421,0.693108514,-7.009003338
ADAM9,ENSG00000168615,0.247695053,7.813961163,0.679482016,0.501841239,0.749206409,-7.085112033
PCBP1,ENSG00000169564,0.247505154,10.67698038,0.918477659,0.365412936,0.617307471,-6.892921172
CHPF2,ENSG00000033100,0.247448713,8.859771957,1.007799394,0.321300698,0.568514955,-6.807084446
APOBR,ENSG00000184730,0.247307756,6.224449341,1.324040359,0.195105405,0.409681323,-6.444338304
NUP85,ENSG00000125450,0.247072545,8.873027573,0.972056761,0.338496144,0.58813038,-6.842332058
B3GNT4,ENSG00000176383,0.246882044,8.187835035,0.839064194,0.407814324,0.66374051,-6.962891935
BFSP2,ENSG00000170819,0.24636013,5.58982427,1.211033215,0.234973374,0.46395666,-6.584283916
PSTPIP1,ENSG00000140368,0.246322542,6.469271077,0.769453886,0.447408541,0.700340505,-7.019247227
H4C4,ENSG00000277157,0.245993147,6.060694246,1.076168513,0.290100767,0.532315776,-6.736352014
SSR1,ENSG00000124783,0.245862203,10.49605897,0.858065191,0.397398329,0.65309332,-6.946698464
TGFB1I1,ENSG00000140682,0.245749591,7.524773444,0.584866314,0.562842359,0.792461752,-7.145792464
HDAC9,ENSG00000048052,0.24561235,6.909325273,0.499414558,0.620989862,0.832148484,-7.19294969
FGF22,ENSG00000070388,0.245008087,5.970803863,1.034078621,0.309045976,0.553873184,-6.780409128
NACA,ENSG00000196531,0.244926881,12.80069792,1.275916062,0.211399514,0.433229925,-6.505308828
AHR,ENSG00000106546,0.244634565,6.06039202,0.914273337,0.367582909,0.620169022,-6.896776108
MLN,ENSG00000096395,0.244504365,6.741371022,1.184500368,0.245157217,0.476319697,-6.615500036
H3-3A,ENSG00000163041,0.244488281,7.004784471,1.03291465,0.309581821,0.554558401,-6.781604222
CCDC47,ENSG00000108588,0.244430618,9.244847014,0.692761531,0.493582191,0.741900684,-7.075888834
RUFY1,ENSG00000176783,0.243558872,9.24665205,0.875257745,0.388120013,0.642487484,-6.931748337
LINC02809,ENSG00000276255,0.243521947,7.184598564,1.546502799,0.132064274,0.310119466,-6.136736561
UNC45A,ENSG00000140553,0.243478485,8.594843721,1.183894372,0.245393548,0.476612335,-6.616205623
LTN1,ENSG00000198862,0.243349372,8.65660782,0.644635719,0.523873551,0.766563602,-7.108489357
RNF113A,ENSG00000125352,0.243267337,8.407151844,0.824484192,0.415921422,0.671368487,-6.975082609
SMARCD1,ENSG00000066117,0.243059471,9.01696415,1.22796015,0.22864259,0.455853578,-6.564040598
POFUT1,ENSG00000101346,0.242937734,6.966331782,1.635799512,0.11192831,0.274862169,-6.001738498
DUS4L,ENSG00000105865,0.242422261,7.489820814,0.711441738,0.482094515,0.731850017,-7.062621796
DNAJC1,ENSG00000136770,0.242422029,7.884760277,0.836766383,0.409085411,0.664827589,-6.96482675
GPR68,ENSG00000119714,0.242062686,5.10979042,1.205403249,0.237107608,0.46649937,-6.590960282
ST20,ENSG00000180953,0.241887019,8.001041885,0.954185434,0.347322223,0.598386454,-6.859506806
AMPD3,ENSG00000133805,0.24171943,7.26701122,0.882691269,0.384151551,0.639494751,-6.925196945
TRIM25,ENSG00000121060,0.241547603,7.511090008,1.093985654,0.282332981,0.52294242,-6.717210605
MUC3A,ENSG00000169894,0.241076897,7.051977692,1.079454313,0.288657012,0.530643463,-6.732843914
ZRSR2,ENSG00000169249,0.240954916,8.052671455,1.178913889,0.247342222,0.478876732,-6.621992117
RPH3AL,ENSG00000181031,0.240869843,5.730256519,1.317720522,0.197188481,0.41271129,-6.452460438
CD68,ENSG00000129226,0.240840812,7.138498002,0.854791033,0.399181074,0.655196519,-6.949513521
ENTREP3,ENSG00000160767,0.240725026,9.977201334,0.915092253,0.367159584,0.619673696,-6.896026559
PRODH2,ENSG00000250799,0.240524595,8.018623597,1.045745814,0.303710393,0.5476781,-6.768360614
EDF1,ENSG00000107223,0.240375089,9.73060993,1.04904498,0.302213341,0.546813419,-6.764930766
IRF4,ENSG00000137265,0.240270972,7.772688597,0.633938377,0.530740158,0.771066278,-7.115425622
CCT3,ENSG00000163468,0.240164012,11.7839036,0.635803885,0.529539251,0.770331769,-7.114224148
PITPNM1,ENSG00000110697,0.239976999,7.375736465,1.26767436,0.214290718,0.437403375,-6.515547005
EEF1A2,ENSG00000101210,0.239908579,6.372197845,0.557057645,0.581461264,0.803836599,-7.161939069
A4GALT,ENSG00000128274,0.23975155,7.05733585,0.850895413,0.401308762,0.657183229,-6.952849521
ISOC1,ENSG00000066583,0.239740468,8.243135377,0.54810082,0.587521905,0.808360878,-7.166975589
ITPA,ENSG00000125877,0.239705991,9.074401419,0.857845585,0.397517744,0.653214651,-6.946887597
BACH2,ENSG00000112182,0.238759825,5.555893957,1.338154285,0.190514471,0.40232723,-6.426074162
RARS1,ENSG00000113643,0.237924587,9.395333762,0.97018172,0.339415018,0.589155395,-6.844148105
RHOA,ENSG00000067560,0.237923028,11.93156405,0.880272045,0.385440211,0.641052778,-6.927334867
CA5BP1,ENSG00000290746,0.237920276,7.739009776,1.168086215,0.251617825,0.484225708,-6.634495069
SLC27A2,ENSG00000140284,0.237216285,5.527222095,0.660173637,0.5139855,0.758984031,-7.098213225
GTPBP2,ENSG00000172432,0.2369033,8.580581426,0.731374983,0.47000615,0.722144342,-7.048088191
PHF2,ENSG00000197724,0.236840987,8.001159824,1.019716207,0.315702873,0.561657763,-6.795067587
APOL6,ENSG00000221963,0.236808408,8.095600128,0.727509495,0.472336538,0.724094389,-7.050936916
PROS1,ENSG00000184500,0.236656116,6.937815147,0.535751413,0.595928068,0.813940833,-7.173788447
ZCCHC8,ENSG00000033030,0.236505966,8.780374997,0.689321181,0.49571453,0.744139862,-7.078294925
SERPINA6,ENSG00000170099,0.236339628,7.278067552,0.85947334,0.396633157,0.652659222,-6.945484608
PUS3,ENSG00000110060,0.235913716,7.860020243,1.243328767,0.223005717,0.449177525,-6.545440185
FADS1,ENSG00000149485,0.23583262,8.459016863,0.686380869,0.497541024,0.74572786,-7.080342095
OPA1,ENSG00000198836,0.235778081,8.713015695,0.771427103,0.446255454,0.698917302,-7.017714287
POLD2,ENSG00000106628,0.235761449,8.820166475,1.028376897,0.311676962,0.557277163,-6.786251305
PKP4,ENSG00000144283,0.235717121,8.154955166,0.643593086,0.524540709,0.767092871,-7.109170383
ATP6V0B,ENSG00000117410,0.235621717,10.27538935,0.856320565,0.398347632,0.654278224,-6.948199736
DPYSL3,ENSG00000113657,0.235496963,8.55751327,0.852570259,0.400393131,0.656208758,-6.951417055
RBM8A,ENSG00000265241,0.235090824,9.215876131,0.780341803,0.441068142,0.69443637,-7.010741616
UBASH3A,ENSG00000160185,0.234951257,5.426755906,0.926914771,0.361083655,0.614047911,-6.885134677
MFGE8,ENSG00000140545,0.234922839,7.86534622,1.02054607,0.315315568,0.56126171,-6.794225834
TRIM28,ENSG00000130726,0.234517597,11.42181391,0.588668756,0.560320108,0.790916973,-7.143524834
KLRG1,ENSG00000139187,0.234403645,7.707501274,0.715988341,0.479321746,0.729859814,-7.059341001
IKBKE,ENSG00000263528,0.23433362,7.944865616,1.087674,0.28506761,0.526451062,-6.724024694
P2RY14,ENSG00000174944,0.233906124,4.703095438,0.622460006,0.538161044,0.776257647,-7.122742493
LTB4R,ENSG00000213903,0.233788634,7.690887133,1.148809077,0.259363239,0.493679046,-6.656493039
ANKRD10,ENSG00000088448,0.233645378,7.818212818,1.061075927,0.29679776,0.541208336,-6.752338058
ATP6V1H,ENSG00000047249,0.233539851,9.309608476,0.813389162,0.422157109,0.67836623,-6.984222345
HERC6,ENSG00000138642,0.233511455,7.015507761,0.47009862,0.641552978,0.844151756,-7.207443467
VIPR1,ENSG00000114812,0.233418184,8.263519449,0.914119952,0.367662235,0.620229829,-6.89691643
VAMP7,ENSG00000124333,0.233355223,8.832221733,0.689375054,0.4956811,0.744139862,-7.078257337
CBX4,ENSG00000141582,0.233319124,6.377074231,1.091428303,0.28343874,0.524524565,-6.719975932
TUBA1B,ENSG00000123416,0.232684146,13.51920437,1.281223676,0.209553307,0.429999905,-6.498683874
SLC52A1,ENSG00000132517,0.232496161,5.687101253,1.132367513,0.26610498,0.50217546,-6.67498941
GTF2H4,ENSG00000213780,0.23249175,6.845795529,0.948728141,0.35004775,0.601239011,-6.864691501
EML4,ENSG00000143924,0.232200218,8.258513445,0.656195057,0.516507666,0.76087495,-7.100867169
GPR35,ENSG00000178623,0.232075633,6.661615605,1.006904346,0.321723868,0.568786176,-6.807981668
DDOST,ENSG00000244038,0.231891243,11.32348451,0.863347031,0.394533053,0.650174136,-6.942135611
EIF3A,ENSG00000107581,0.231798824,9.794232875,1.079178086,0.288778188,0.530664532,-6.733139211
FAM120C,ENSG00000184083,0.231644844,6.075820096,0.878631934,0.386315431,0.641657871,-6.928781095
KCNJ12,ENSG00000184185,0.231509671,5.764256056,0.628905395,0.533987317,0.773451938,-7.118649934
COBLL1,ENSG00000082438,0.231229355,6.546086862,1.184681845,0.245086476,0.47624683,-6.61528867
SSBP1,ENSG00000106028,0.231161814,10.30646626,0.576386284,0.568487982,0.795431164,-7.150797836
ST3GAL1,ENSG00000008513,0.231058202,5.862646811,1.155713881,0.25656926,0.48979229,-6.648652269
CCDC102B,ENSG00000150636,0.231046436,4.463183369,1.134780384,0.265107754,0.500755208,-6.672290346
ALKBH1,ENSG00000100601,0.230989573,9.359899456,0.67847462,0.502470894,0.749833935,-7.085804644
NHERF4,ENSG00000172367,0.230733641,7.321847408,1.064291787,0.295361777,0.539344833,-6.748949416
CRYGD,ENSG00000118231,0.230711377,6.80918453,1.125373721,0.269010767,0.505726281,-6.682782849
TNFRSF9,ENSG00000049249,0.230621936,6.370972609,0.802339256,0.428424218,0.681791025,-6.993206936
ACIN1,ENSG00000100813,0.230599052,8.768513838,0.909860602,0.369869485,0.623069949,-6.900804109
GPR183,ENSG00000169508,0.230479222,5.026603824,1.074976813,0.290625648,0.533009203,-6.737621885
SUCLA2,ENSG00000136143,0.23029764,8.643520033,0.556419238,0.581892226,0.804232482,-7.162300701
ACOT11,ENSG00000162390,0.230279637,7.756203267,1.10493053,0.27763525,0.516721068,-6.705307985
EMC9,ENSG00000100908,0.229864526,8.40560936,0.990444664,0.329573865,0.577960356,-6.824348046
FBXL8,ENSG00000135722,0.229353708,5.296401027,1.544223279,0.132614572,0.310851334,-6.140098105
ZSCAN16,ENSG00000196812,0.229234824,5.671774647,1.063602412,0.295669193,0.539699856,-6.749676632
MOXD1,ENSG00000079931,0.229191143,6.381002145,0.821561281,0.417558616,0.672874203,-6.977501915
ROGDI,ENSG00000067836,0.228849143,8.681870961,1.263832988,0.215648452,0.439176237,-6.520298476
NRXN3,ENSG00000021645,0.228763667,6.419846266,0.947024241,0.350901632,0.601988474,-6.86630454
FYCO1,ENSG00000163820,0.228409264,6.817407772,0.75143796,0.458018343,0.710352294,-7.033068398
RSL1D1,ENSG00000171490,0.228254942,9.144092665,0.55428919,0.583331265,0.805178084,-7.163504348
EEF1G,ENSG00000254772,0.227689751,13.51277654,1.405626018,0.16971252,0.37154061,-6.336390457
APOBEC3B,ENSG00000179750,0.227270274,4.950392535,1.223486919,0.2303031,0.457762952,-6.569415052
BEND5,ENSG00000162373,0.227244854,6.370656761,0.693739014,0.492977285,0.741380301,-7.075203088
NDN,ENSG00000182636,0.227191572,9.759724053,0.659618826,0.514336811,0.759109927,-7.098584252
SIRT6,ENSG00000077463,0.227112361,8.274167416,1.097018631,0.281025548,0.520945352,-6.713923204
CYCS,ENSG00000172115,0.226946768,11.30415075,0.624845897,0.536614055,0.775427874,-7.121232342
GBA1LP,ENSG00000291137,0.226823757,8.391971023,1.010940094,0.319818822,0.566535187,-6.803930211
PDIA2,ENSG00000185615,0.225852547,6.10684457,0.975214255,0.336952585,0.586699969,-6.839266452
RASA3,ENSG00000185989,0.225403058,6.246304154,1.264371628,0.215457679,0.438972427,-6.519633005
RAB8A,ENSG00000167461,0.225389656,10.08652808,1.050440183,0.301581795,0.54604063,-6.763477271
AGTPBP1,ENSG00000135049,0.225386852,7.028419415,0.904999265,0.372399223,0.626230309,-6.905220207
TMEM208,ENSG00000168701,0.225380122,8.989078901,0.878076869,0.386611921,0.641844771,-6.929269962
MEGF9,ENSG00000106780,0.225297951,7.646678322,0.867118476,0.392495171,0.647709697,-6.938861221
DYNC1I1,ENSG00000158560,0.225075111,7.172947499,0.818169969,0.419463157,0.674880707,-6.980298608
ACKR1,ENSG00000213088,0.224880078,7.675506203,0.472251105,0.640033041,0.843235882,-7.20640866
P2RY6,ENSG00000171631,0.224871336,6.304549871,0.926138928,0.361480345,0.614469294,-6.885853504
ADGRL1,ENSG00000072071,0.224787927,8.255050217,0.79873893,0.430478395,0.683168116,-6.996108869
ZFP30,ENSG00000120784,0.224641029,6.99744586,0.577194017,0.567949008,0.795050931,-7.150324151
BDH1,ENSG00000161267,0.22435001,7.412468287,0.597933865,0.554198484,0.787808539,-7.137939329
TNFRSF11B,ENSG00000164761,0.223914185,5.039821146,0.924254199,0.362445202,0.615258558,-6.887597357
PLXNA1,ENSG00000114554,0.223849571,8.853638338,0.667605485,0.509292235,0.75552836,-7.093213977
CDHR1,ENSG00000148600,0.223730401,6.106838144,0.89848536,0.375806506,0.629448443,-6.911102327
RHOQ,ENSG00000119729,0.223468742,9.023691399,0.696341995,0.491368488,0.740048251,-7.073372417
NAGK,ENSG00000124357,0.223412846,10.06494216,0.903106365,0.373387283,0.627450907,-6.906933671
DSCR4,ENSG00000184029,0.22340535,7.482707705,0.975164622,0.336976812,0.586699969,-6.839314713
PRKCQ,ENSG00000065675,0.223204678,8.134198419,0.958023095,0.345414088,0.595887126,-6.855844047
YIPF6,ENSG00000181704,0.222592454,8.956110871,0.752670287,0.457287924,0.709680349,-7.032133056
EIF3B,ENSG00000106263,0.222214429,11.33503682,0.656630274,0.516231439,0.76087495,-7.100577614
EIF2B1,ENSG00000111361,0.222190567,9.319681948,0.844906007,0.40459392,0.660223924,-6.957950151
ANKRD40,ENSG00000154945,0.221830155,7.987375428,0.887927668,0.381371732,0.636019034,-6.920550316
AMPD2,ENSG00000116337,0.221827581,8.461986378,0.784675802,0.438559403,0.692388463,-7.00732393
TARS2,ENSG00000143374,0.22156018,8.316102355,0.970378356,0.339318576,0.589155395,-6.843957811
PPP1CB,ENSG00000213639,0.221509001,8.491784004,0.713792825,0.480659552,0.730522987,-7.060927794
PSMA5,ENSG00000143106,0.221453874,9.616032565,0.993397765,0.328155963,0.576596787,-6.821430312
AATF,ENSG00000275700,0.221453786,9.752530641,0.886380819,0.382191549,0.637015552,-6.921925664
RASGRP3,ENSG00000152689,0.221123299,5.52118786,1.032022719,0.309992865,0.554889165,-6.782519151
CYP3A5,ENSG00000106258,0.220919734,6.305137095,1.017723406,0.316634271,0.562909736,-6.797086322
MT4,ENSG00000102891,0.220647068,7.570397143,0.761689547,0.451962994,0.704650772,-7.02524243
TRIM10,ENSG00000137394,0.220584834,6.858906183,0.974220598,0.337437827,0.586718436,-6.8402322
TMEM120B,ENSG00000188735,0.220549314,6.57928596,1.397580256,0.17209527,0.374904036,-6.347289621
PLCG1,ENSG00000124181,0.220083923,9.282418327,0.921965715,0.363619027,0.615801564,-6.889710265
BIRC7,ENSG00000101197,0.220077211,6.711275889,0.959813053,0.344526498,0.594857235,-6.854130927
NPC1L1,ENSG00000015520,0.219904304,6.995018097,0.905172781,0.372308736,0.626151628,-6.905062969
CROCC,ENSG00000058453,0.219743906,7.545504619,1.040706932,0.306006828,0.550850734,-6.773579649
PCNX2,ENSG00000135749,0.219676303,6.781346191,0.972470301,0.338293712,0.587921238,-6.841931085
RCAN2,ENSG00000172348,0.219625465,7.206721616,0.499792927,0.620726434,0.832056025,-7.192756984
DOP1B,ENSG00000142197,0.219526255,6.327356787,0.570053826,0.572722285,0.798435837,-7.154488924
RAB23,ENSG00000112210,0.219241184,5.959212039,0.879927569,0.38562393,0.641052778,-6.927638835
E4F1,ENSG00000167967,0.21911975,7.329319076,1.01580554,0.317532429,0.564126447,-6.799025658
PTRH2,ENSG00000141378,0.218536766,9.140893513,0.685484681,0.498098473,0.746291044,-7.08096437
PDE2A,ENSG00000186642,0.218430241,8.105510346,0.557477828,0.581177702,0.803836599,-7.16170083
CFP,ENSG00000126759,0.218410108,6.232171823,0.747667693,0.460257297,0.712359777,-7.035920868
CHD4,ENSG00000111642,0.21811215,10.33760965,1.012906914,0.318893209,0.565825331,-6.801950236
PSMA2,ENSG00000106588,0.218063947,11.0419635,0.609070733,0.546885851,0.782146657,-7.131112645
MMP14,ENSG00000157227,0.217946442,9.078109306,0.925911485,0.361596691,0.614482802,-6.886064125
TAF1C,ENSG00000103168,0.217664989,8.333374767,0.904479304,0.372670464,0.626612894,-6.905691218
KCNN4,ENSG00000104783,0.217609642,6.698272952,0.922600366,0.363293248,0.615709369,-6.889124803
ENTPD7,ENSG00000198018,0.217552472,6.203645264,1.197456795,0.240144384,0.470228677,-6.600335455
PRDX6,ENSG00000117592,0.217487204,11.99256198,0.613305857,0.544118206,0.779744952,-7.128484312
GZMH,ENSG00000100450,0.217362909,6.512034149,0.631821201,0.532104828,0.772171883,-7.116785015
MARS1,ENSG00000166986,0.217097441,10.16628101,0.864497322,0.393910788,0.649522173,-6.941138364
CD2AP,ENSG00000198087,0.216535748,6.993108334,0.765664812,0.449627732,0.702868295,-7.022180259
SPR,ENSG00000116096,0.216523576,8.750805849,0.875858402,0.387798376,0.642487484,-6.931220917
IGFBP5,ENSG00000115461,0.215867712,9.04820963,0.390299351,0.698966418,0.876833215,-7.242510283
PLEKHM1,ENSG00000225190,0.215720837,8.402696751,1.191027158,0.242622462,0.473384703,-6.60787971
INPP5F,ENSG00000198825,0.215567104,9.421145313,0.38267274,0.704556234,0.880633835,-7.245524756
RELB,ENSG00000104856,0.215086944,6.466613909,0.840299683,0.407131906,0.663081732,-6.961849525
FOXJ2,ENSG00000065970,0.215078906,8.740083926,1.135150722,0.264954934,0.500535349,-6.671875612
ARIH1,ENSG00000166233,0.214979289,8.873543088,0.680422485,0.501253811,0.748641428,-7.084464536
LMAN1,ENSG00000074695,0.214974504,5.647840289,0.683412824,0.49938855,0.747803915,-7.082399963
CENPN,ENSG00000166451,0.21496529,7.963310312,0.620309076,0.539557695,0.776257647,-7.124099095
MMP15,ENSG00000102996,0.214960367,9.416875837,0.772432529,0.445668597,0.698580191,-7.016931745
CTSK,ENSG00000143387,0.21480011,8.517109165,0.555444927,0.582550245,0.804487516,-7.162851826
FRG1,ENSG00000109536,0.214295328,8.45330801,0.653140321,0.518448731,0.762214066,-7.102894266
RPL41,ENSG00000229117,0.214088875,14.1454947,1.453606961,0.156037695,0.349081051,-6.270254029
RNF144A,ENSG00000151692,0.213932246,7.441269821,0.846181036,0.403893164,0.659322951,-6.956867208
SYT2,ENSG00000143858,0.213553858,8.574486316,0.700100111,0.489050973,0.737707584,-7.07071762
LRBA,ENSG00000198589,0.213505909,9.04720767,0.700973116,0.488513503,0.737266902,-7.070098933
ABI1,ENSG00000136754,0.213399473,8.433986922,0.590731915,0.558953972,0.790334663,-7.142288432
PRSS2,ENSG00000275896,0.213312399,6.756156921,0.980914175,0.334178181,0.583244721,-6.833708738
OGFRL1,ENSG00000119900,0.213294684,5.389269024,0.846077998,0.403949765,0.659322951,-6.956954781
ANKRD2,ENSG00000165887,0.21324387,6.877338244,0.559978948,0.579491213,0.803836599,-7.160279081
HRAS,ENSG00000174775,0.213030089,8.109577544,1.05736277,0.298461884,0.543482062,-6.756238853
CRYBB3,ENSG00000100053,0.212858601,6.567083934,1.262612398,0.216081227,0.4398051,-6.521805525
AMBRA1,ENSG00000110497,0.212834036,9.196435895,1.030957162,0.31048442,0.555422129,-6.783611216
TRMT2B,ENSG00000188917,0.212548974,7.945099814,0.90785844,0.370910009,0.62445888,-6.902625615
GPRIN2,ENSG00000204175,0.21248551,8.166378479,0.739727298,0.464993603,0.717365778,-7.041883048
