,ENSEMBL,logFC,AveExpr,t,P.Value,adj.P.Val,B
C1orf174,ENSG00000198912,-0.046481121,7.969539214,-0.235209636,0.815582511,0.941127923,-7.292188617
NRAP,ENSG00000197893,-0.046493208,5.269242468,-0.282723374,0.779255562,0.921762945,-7.279571869
TFAP2B,ENSG00000008196,-0.046536121,5.181084845,-0.279740785,0.781522047,0.92326754,-7.28043164
FEZF2,ENSG00000153266,-0.046599696,4.646886618,-0.255859183,0.799738419,0.932724386,-7.286988557
CCL1,ENSG00000108702,-0.046607932,5.784751754,-0.239489528,0.812291868,0.939583386,-7.291146628
RPN2,ENSG00000118705,-0.046679731,12.38300984,-0.262980867,0.794293669,0.929573462,-7.285094141
MARK2,ENSG00000072518,-0.046706599,6.653781504,-0.199904605,0.842852023,0.952688068,-7.300069472
TRBV21-1,ENSG00000251578,-0.046718242,5.953003602,-0.234622057,0.816034546,0.941290964,-7.292330209
C8orf17,ENSG00000250733,-0.046833254,5.459786698,-0.259996688,0.796573905,0.931212776,-7.285894256
PTPRT,ENSG00000196090,-0.046872233,7.225575249,-0.202452237,0.840877172,0.951582747,-7.299543478
HTR3A,ENSG00000166736,-0.046973108,7.496206076,-0.224818305,0.823586097,0.944844835,-7.294640587
CSN2,ENSG00000135222,-0.0471148,5.906493503,-0.290076142,0.773676595,0.918596953,-7.277413592
PRG3,ENSG00000156575,-0.047136567,6.994935409,-0.186175237,0.853512162,0.954801789,-7.3027897
GFM1,ENSG00000168827,-0.047197929,5.501771859,-0.29812016,0.767587161,0.916643249,-7.274989289
CASP5,ENSG00000137757,-0.047250916,5.823544173,-0.230016007,0.819580273,0.943110604,-7.293427921
KCNK7,ENSG00000173338,-0.04728794,6.199538961,-0.24509403,0.807988044,0.936567228,-7.289753841
C19orf73,ENSG00000221916,-0.047309145,6.505916253,-0.228927033,0.82041913,0.943179214,-7.293684275
BBOX1,ENSG00000129151,-0.047340569,5.090145393,-0.236912778,0.814272619,0.940337876,-7.291776211
FLRT2,ENSG00000185070,-0.047515047,8.441726987,-0.076658991,0.939384152,0.978513777,-7.317569755
CHD2,ENSG00000173575,-0.047521157,6.43205831,-0.289272129,0.774286055,0.918868412,-7.277652279
DNASE2,ENSG00000105612,-0.047620197,9.230514204,-0.198298572,0.844097506,0.953258152,-7.300397647
POLA2,ENSG00000014138,-0.047731121,7.62489391,-0.237043028,0.814172466,0.940297998,-7.291744549
ACVR2B-AS1,ENSG00000229589,-0.04788376,6.542611964,-0.225899098,0.822752739,0.944495225,-7.294390704
TLX3,ENSG00000164438,-0.047896966,5.450481557,-0.216348943,0.830123655,0.947265744,-7.29655737
IFNGR2,ENSG00000159128,-0.047911231,9.707973747,-0.184174325,0.855068162,0.954801789,-7.303170029
NPM1,ENSG00000181163,-0.047957127,12.07274894,-0.267024342,0.791206957,0.928289895,-7.283995506
KCNQ3,ENSG00000184156,-0.048076119,6.272559441,-0.205108937,0.838818894,0.951488276,-7.298987888
SLITRK3,ENSG00000121871,-0.048088356,4.926826011,-0.222661718,0.825249584,0.945535839,-7.295135627
CHRNE,ENSG00000108556,-0.048153804,5.711659279,-0.219219593,0.827906374,0.946773378,-7.295915905
CHRNA1,ENSG00000138435,-0.048159276,6.032137673,-0.265645377,0.79225925,0.928989841,-7.284372054
SEMA4F,ENSG00000135622,-0.048494304,8.357968725,-0.178303082,0.859637296,0.954801789,-7.304262352
DELE1,ENSG00000081791,-0.048589166,8.345611077,-0.219565383,0.827639384,0.946619151,-7.295838067
TEP1,ENSG00000129566,-0.048642196,5.091085308,-0.186600407,0.853181608,0.954801789,-7.302708357
SCN1B,ENSG00000105711,-0.048698993,7.165218379,-0.183861107,0.855311788,0.954801789,-7.303229194
GRM2,ENSG00000164082,-0.048985793,7.251672716,-0.176612836,0.860953606,0.954801789,-7.304570269
TRAV9-2,ENSG00000211793,-0.048986915,5.119298908,-0.209396977,0.835499178,0.950374511,-7.298075902
PTX3,ENSG00000163661,-0.049062327,4.377314976,-0.208074402,0.836522765,0.951236783,-7.298359196
C4BPB,ENSG00000123843,-0.049114122,5.591092395,-0.294035345,0.77067757,0.916959024,-7.276228609
SRSF7,ENSG00000115875,-0.049117516,11.08386632,-0.193506345,0.847816312,0.954026507,-7.301361187
ZNF460,ENSG00000197714,-0.049186884,7.569899947,-0.21752221,0.829217254,0.947265744,-7.296296214
SLC2A11,ENSG00000133460,-0.049323795,5.511471906,-0.285766002,0.77694548,0.920450747,-7.278685443
ODAM,ENSG00000109205,-0.049366847,5.109694815,-0.269051896,0.78966045,0.927008556,-7.283438327
GPR19,ENSG00000183150,-0.049393955,7.48586485,-0.133642335,0.894543438,0.966410911,-7.311414829
BHLHE40,ENSG00000134107,-0.049571945,9.004766103,-0.114023405,0.909949599,0.970173206,-7.313910139
PA2G4,ENSG00000170515,-0.049579997,9.914607806,-0.175624685,0.861723334,0.955070276,-7.304748928
SLC3A2,ENSG00000168003,-0.049635628,9.435312688,-0.191309056,0.84952262,0.954026507,-7.301795118
PAGR1,ENSG00000280789,-0.049664848,8.587701869,-0.207451833,0.837004693,0.951331819,-7.298491929
CAMK2B,ENSG00000058404,-0.04970106,8.066763605,-0.210019825,0.835017235,0.95018708,-7.297941868
ENOSF1,ENSG00000132199,-0.049838986,8.469619657,-0.190104998,0.850457946,0.954026507,-7.302030805
CORO2B,ENSG00000103647,-0.049898078,6.306987718,-0.208250008,0.83638684,0.951157701,-7.298321684
SRD5A1,ENSG00000145545,-0.050044573,7.543400439,-0.182316432,0.856513473,0.954801789,-7.303519502
PPIL6,ENSG00000185250,-0.050126484,6.649948144,-0.253094011,0.80185525,0.934052832,-7.287710154
WDR59,ENSG00000103091,-0.050137197,8.607356488,-0.202724637,0.840666077,0.951493224,-7.299486843
EXT2,ENSG00000151348,-0.050175369,8.909269063,-0.148808168,0.882662364,0.96082153,-7.309215309
ABCC8,ENSG00000006071,-0.050225497,6.64806352,-0.204079254,0.839616504,0.951488276,-7.29920408
GABRQ,ENSG00000268089,-0.050390631,6.497132023,-0.198606469,0.843858699,0.953224383,-7.300334936
ANK3,ENSG00000151150,-0.050406188,7.559960746,-0.188145415,0.851980647,0.954498099,-7.302411207
CLCNKB,ENSG00000184908,-0.050436188,6.915399386,-0.279751267,0.781514078,0.92326754,-7.280428635
TAS2R1,ENSG00000169777,-0.050641303,7.410213915,-0.184022463,0.855186281,0.954801789,-7.303198727
GNAQ,ENSG00000156052,-0.050679574,9.670918082,-0.205201187,0.838747443,0.951488276,-7.298968466
NRSN2,ENSG00000125841,-0.050701603,8.024455871,-0.24239644,0.810058833,0.937921167,-7.290428231
OLFM4,ENSG00000102837,-0.050758364,4.407027724,-0.311278628,0.757658539,0.910626507,-7.270881487
ZNF277,ENSG00000198839,-0.050902327,7.488850574,-0.242355872,0.810089985,0.937921167,-7.290438317
PPARD,ENSG00000112033,-0.05090274,8.214077642,-0.137818163,0.891269452,0.965287386,-7.310832739
ABCB4,ENSG00000005471,-0.050903192,5.770379831,-0.177971238,0.859895693,0.954801789,-7.304323036
KCNH4,ENSG00000089558,-0.051055165,6.348782363,-0.2278958,0.821213709,0.943562764,-7.293925918
DNAJC4,ENSG00000110011,-0.051122556,7.546471417,-0.271741026,0.787610669,0.926455376,-7.282692873
NPPA,ENSG00000175206,-0.05112448,7.27133537,-0.248740588,0.805191028,0.935025897,-7.288830394
PIGC,ENSG00000135845,-0.05114191,9.922655644,-0.190778956,0.849934381,0.954026507,-7.301899065
MKRN7P,ENSG00000225849,-0.051157466,6.066071985,-0.261874346,0.795138957,0.930161329,-7.285391881
KLK13,ENSG00000167759,-0.051279038,7.316926631,-0.164373484,0.870497076,0.958363828,-7.306712605
GPR12,ENSG00000132975,-0.05136788,7.037371533,-0.190599467,0.85007381,0.954026507,-7.301934195
VPS51,ENSG00000149823,-0.051436089,9.515878107,-0.234998533,0.81574491,0.941127923,-7.292239529
TRBV10-2,ENSG00000229769,-0.05147899,5.435544543,-0.31697331,0.753374514,0.909074126,-7.269049067
EAPP,ENSG00000129518,-0.051491962,9.101386877,-0.140749475,0.888972365,0.964129959,-7.310413443
ZNF665,ENSG00000197497,-0.051540596,9.430660079,-0.143663458,0.886689826,0.962237089,-7.309987891
N4BP3,ENSG00000145911,-0.05161995,6.540946853,-0.23016624,0.819464562,0.943110604,-7.29339246
CSF2,ENSG00000164400,-0.051671055,6.719980345,-0.256846776,0.798982757,0.93207066,-7.286728943
MRPL49,ENSG00000149792,-0.051727588,9.88147811,-0.230631876,0.819105952,0.943110604,-7.293282404
SERF2,ENSG00000140264,-0.051803791,11.73008388,-0.197745932,0.844526175,0.953452219,-7.300509961
SLC5A12,ENSG00000148942,-0.051819855,4.19272653,-0.302862389,0.764004235,0.914647564,-7.273529188
WRAP73,ENSG00000116213,-0.051822377,7.004543114,-0.166375128,0.868934928,0.957721754,-7.306372744
RPS6KB1,ENSG00000108443,-0.05204861,6.647355471,-0.224199031,0.824063691,0.945175968,-7.294783227
CACNG1,ENSG00000108878,-0.052091608,6.503463656,-0.289217707,0.774327314,0.918868412,-7.277668412
AGTR2,ENSG00000180772,-0.052190901,6.374168658,-0.285988197,0.776776861,0.920450747,-7.27862034
CCK,ENSG00000187094,-0.052197006,6.160503794,-0.145880083,0.88495419,0.961518698,-7.309658348
MAP6D1,ENSG00000180834,-0.052265777,7.432648817,-0.222824031,0.825124355,0.945535839,-7.295098534
KDM7A,ENSG00000006459,-0.052422774,8.877614059,-0.138658817,0.890610585,0.96510612,-7.310713393
SEMA3B,ENSG00000012171,-0.05243413,7.0826742,-0.214543501,0.831518901,0.9484089,-7.296956489
POLR3D,ENSG00000168495,-0.052441788,8.293725455,-0.128661932,0.898450697,0.96839928,-7.312085684
PAX7,ENSG00000009709,-0.052631548,7.111237542,-0.257721984,0.798313251,0.931754752,-7.28649804
SPX,ENSG00000134548,-0.052644817,7.175123305,-0.263796662,0.793670632,0.929573462,-7.284873829
RFPL2,ENSG00000128253,-0.052723072,7.043340103,-0.270026623,0.78891729,0.926946745,-7.283168976
MAPRE1,ENSG00000101367,-0.052769213,11.4048334,-0.22047681,0.826935755,0.946188264,-7.295632317
CHRNA6,ENSG00000147434,-0.052815965,6.267124784,-0.228573982,0.820691139,0.943191796,-7.293767126
NPR3,ENSG00000113389,-0.052845616,7.06166622,-0.221669666,0.826015081,0.946028864,-7.295361753
ASMTL,ENSG00000169093,-0.052923059,8.268961585,-0.184192929,0.855053692,0.954801789,-7.303166512
HCRT,ENSG00000161610,-0.053045397,5.476185497,-0.251087808,0.803392022,0.934475548,-7.288228803
ZNF580,ENSG00000213015,-0.05304719,8.398578937,-0.205641175,0.838406681,0.951488276,-7.298875714
