"gene","HR","95% CI","p.value"
"ENSG00000179256",1.86,"(1.1-3)",0.0122
"ENSG00000134759",0.242,"(0.059-0.99)",0.0486
"ENSG00000234667",2290000,"(16-3.2e+11)",0.0155
"ENSG00000232511",7.89e+24,"(2.8e+07-2.2e+42)",0.00516
"ENSG00000258844",40.2,"(2.2-720)",0.0122
"ENSG00000255725",1.8,"(1-3.1)",0.0327
"ENSG00000258876",32.1,"(1.3-790)",0.0341
"ENSG00000226122",29200000,"(21-4.1e+13)",0.0173
"ENSG00000166926",4.26,"(1.6-12)",0.00434
"ENSG00000254135",2.75e+11,"(7100-1.1e+19)",0.00312
"ENSG00000267669",0.000208,"(4.9e-08-0.87)",0.0464
"ENSG00000226861",73600,"(130-4.2e+07)",0.000534
"ENSG00000202193",48100,"(210-1.1e+07)",0.000107
"ENSG00000251714",576,"(3.1-110000)",0.017
"ENSG00000254130",49100,"(18-1.4e+08)",0.00763
"ENSG00000255344",197,"(5.8-6700)",0.00335
"ENSG00000267677",5.87,"(1.5-24)",0.0129
"ENSG00000177700",2.08,"(1.1-4.1)",0.0352
"ENSG00000249231",58.4,"(4.3-790)",0.00217
"ENSG00000214823",17400,"(11-2.9e+07)",0.00983
"ENSG00000215456",18.1,"(1.6-200)",0.0178
"ENSG00000232490",1910000,"(51-7.2e+10)",0.00711
"ENSG00000223446",6.46,"(1.4-30)",0.0176
"ENSG00000269706",751,"(4.7-120000)",0.0104
"ENSG00000233047",68100,"(19-2.4e+08)",0.00762
"ENSG00000200703",97600,"(91-1e+08)",0.00125
"ENSG00000203643",19800000,"(1200-3.4e+11)",0.000725
"ENSG00000228092",1.48e+15,"(3e+06-7.3e+23)",0.000627
"ENSG00000182035",9.92,"(2.1-48)",0.00426
"ENSG00000219435",1240,"(3.7-420000)",0.0165
"ENSG00000167098",18.2,"(2.7-120)",0.00286
"ENSG00000249833",5.94,"(1.9-19)",0.00253
"ENSG00000255866",190000,"(250-1.5e+08)",0.000341
"ENSG00000271394",1.99,"(1.1-3.6)",0.0226
"ENSG00000226797",838,"(1.4-510000)",0.0393
"ENSG00000198445",26.8,"(3.1-230)",0.00293
"ENSG00000256448",0.0745,"(0.0085-0.66)",0.0193
"ENSG00000238022",175,"(3-10000)",0.0129
"ENSG00000226005",46.4,"(2-1100)",0.0174
"ENSG00000229434",2.33e+10,"(1600-3.4e+17)",0.00453
"ENSG00000196115",39.5,"(3.1-510)",0.00483
"ENSG00000251291",504000,"(49-5.2e+09)",0.00531
"ENSG00000234186",2.44,"(1.3-4.5)",0.00384
"ENSG00000239981",2.29e+16,"(12-4.2e+31)",0.0357
"ENSG00000234828",613,"(3.3-110000)",0.0159
"ENSG00000256963",656000,"(8-5.4e+10)",0.0203
"ENSG00000246422",2.71e+11,"(270000-2.7e+17)",0.000187
"ENSG00000257035",31100,"(24-4.1e+07)",0.00475
"ENSG00000268566",650000,"(20-2.1e+10)",0.0116
"ENSG00000232688",1860,"(11-320000)",0.00403
"ENSG00000273610",6140000,"(270-1.4e+11)",0.00224
"ENSG00000243780",6.38e+17,"(9800-4.1e+31)",0.0115
"ENSG00000248745",1.35e+32,"(4.1e+08-4.5e+55)",0.00741
"ENSG00000231298",49.5,"(2.5-1000)",0.0109
"ENSG00000228303",3.24e+12,"(1.9-5.7e+24)",0.0452
"ENSG00000268940",1.57,"(1-2.3)",0.029
"ENSG00000240777",48700,"(23-1e+08)",0.00568
"ENSG00000240470",57400000,"(5.8-5.7e+14)",0.0297
"ENSG00000240632",4.03e+10,"(3400-4.7e+17)",0.00328
"ENSG00000265598",115,"(4.7-2800)",0.00358
"ENSG00000129244",1.32,"(1-1.7)",0.0314
"ENSG00000177627",7.45,"(2.3-24)",0.000902
"ENSG00000271893",606,"(2.5-150000)",0.0223
"ENSG00000225564",10400000,"(3.5-3.1e+13)",0.0335
"ENSG00000256120",123,"(3.4-4500)",0.00869
"ENSG00000130725",2.17,"(1-4.5)",0.0373
"ENSG00000270806",5.02,"(1.8-14)",0.00235
"ENSG00000251287",2.56,"(1.2-5.7)",0.0203
"ENSG00000276165",151,"(2.2-10000)",0.0201
"ENSG00000207147",56.4,"(2.2-1500)",0.015
"ENSG00000181722",73.6,"(1.5-3700)",0.0314
"ENSG00000229214",2.86,"(1.1-7.4)",0.0302
"ENSG00000104731",0.227,"(0.067-0.77)",0.0168
"ENSG00000223623",1.17e+12,"(140000-9.4e+18)",0.000616
"ENSG00000274416",308,"(8.7-11000)",0.00162
"ENSG00000258943",8.79,"(1.2-66)",0.0343
"ENSG00000218305",6080,"(2.4-1.5e+07)",0.0292
"ENSG00000271776",777,"(3.3-180000)",0.0169
"ENSG00000203942",2.53,"(1.4-4.6)",0.00262
"ENSG00000204293",8770000,"(1.9-4.1e+13)",0.0414
"ENSG00000270500",3370000,"(17-6.6e+11)",0.0157
"ENSG00000203971",57.3,"(1-3300)",0.0496
"ENSG00000199325",2.63,"(1.1-6.4)",0.034
"ENSG00000248710",1.89e+20,"(17-2.1e+39)",0.0368
"ENSG00000224413",2.77,"(1.2-6.4)",0.0163
"ENSG00000186393",18400,"(10-3.4e+07)",0.0105
"ENSG00000233729",47900,"(35-6.5e+07)",0.0034
"ENSG00000241690",6.12e+12,"(10000-3.7e+21)",0.00432
"ENSG00000279426",4.9e+09,"(44-5.4e+17)",0.0182
"ENSG00000258861",427,"(3.5-52000)",0.0133
"ENSG00000242925",386,"(4.7-32000)",0.008
"ENSG00000228430",2.3e+12,"(360-1.5e+22)",0.0135
"ENSG00000236189",2.03e-06,"(7.9e-12-0.52)",0.0391
"ENSG00000221492",36.5,"(1.1-1200)",0.0419
"ENSG00000277024",1.3e+30,"(66000-2.6e+55)",0.0196
"ENSG00000256342",1820,"(3.1-1100000)",0.0211
"ENSG00000112514",2.2,"(1.1-4.6)",0.0341
"ENSG00000250668",5.61e+12,"(17000-1.9e+21)",0.00339
"ENSG00000237992",6.08e+08,"(4300-8.6e+13)",0.000829
"ENSG00000252400",761,"(4.2-140000)",0.0126
"ENSG00000264954",9290,"(23-3800000)",0.00287
"ENSG00000183644",2.26,"(1.1-4.6)",0.0246
"ENSG00000259136",437000,"(2200-8.6e+07)",1.43e-06
"ENSG00000243135",7.16e+23,"(6.7e+09-7.6e+37)",0.000858
"ENSG00000196475",2.45,"(1.1-5.6)",0.0331
"ENSG00000260887",9350,"(19-4600000)",0.0038
"ENSG00000207083",5.24,"(1.2-23)",0.0271
"ENSG00000207192",2990,"(2.1-4200000)",0.0304
"ENSG00000254927",2.98e+12,"(2800-3.1e+21)",0.00672
"ENSG00000231133",17.6,"(2.4-130)",0.00495
"ENSG00000179407",16.6,"(1.8-160)",0.0143
"ENSG00000259108",46.8,"(1.4-1600)",0.0327
"ENSG00000179564",3.86,"(1.4-11)",0.0108
"ENSG00000251395",7.58e+17,"(3e+06-1.9e+29)",0.00212
"ENSG00000165131",6.52,"(2-21)",0.00202
"ENSG00000250772",4210,"(5.6-3200000)",0.0135
"ENSG00000249534",94900000,"(7.1-1.3e+15)",0.0282
"ENSG00000228538",305,"(4.7-20000)",0.00733
"ENSG00000253832",4680,"(1.4-1.6e+07)",0.0418
"ENSG00000230013",7.68,"(2.2-27)",0.0013
"ENSG00000235740",74,"(3.3-1700)",0.00674
"ENSG00000181995",3.89,"(1.5-10)",0.00531
"ENSG00000269058",5.74,"(1.5-22)",0.0104
"ENSG00000167653",1.28,"(1-1.6)",0.0437
"ENSG00000227255",126,"(5.8-2700)",0.00212
"ENSG00000104499",821,"(4.1-170000)",0.0131
"ENSG00000112232",2.4,"(1-5.7)",0.0471
"ENSG00000253628",512,"(2.6-1e+05)",0.0205
"ENSG00000103023",20.8,"(2.7-160)",0.00332
"ENSG00000249782",139,"(2.4-8100)",0.0173
"ENSG00000260268",9.9,"(2.2-44)",0.00274
"ENSG00000183185",2.8e-09,"(2.4e-17-0.33)",0.0377
"ENSG00000184033",3.05e+27,"(3.7e+08-2.5e+46)",0.00441
"ENSG00000237442",7.29e-11,"(1.3e-19-0.041)",0.0232
"ENSG00000237569",1.74e+14,"(210000-1.4e+23)",0.00174
"ENSG00000223488",2900,"(1.3-6300000)",0.0422
"ENSG00000274600",8.58e+20,"(1500000-4.9e+35)",0.00542
"ENSG00000237947",8.22e+08,"(150-4.5e+15)",0.00954
"ENSG00000205978",1.36,"(1-1.8)",0.0299
"ENSG00000171045",0.225,"(0.092-0.55)",0.00107
"ENSG00000153531",2.32,"(1-5.2)",0.0436
"ENSG00000224035",45800,"(2.8-7.6e+08)",0.0304
"ENSG00000262262",6.76e+08,"(53-8.7e+15)",0.0149
"ENSG00000265552",2.33e+17,"(24000-2.3e+30)",0.00875
"ENSG00000277572",1.8,"(1-3.2)",0.0408
"ENSG00000227313",659000,"(75-5.8e+09)",0.00385
"ENSG00000231712",2410000,"(100-5.7e+10)",0.00426
"ENSG00000226079",22500,"(55-9200000)",0.0011
"ENSG00000239142",2410,"(1.2-4900000)",0.0455
"ENSG00000251602",2.01,"(1-3.9)",0.0385
"ENSG00000173868",1.75,"(1.1-2.9)",0.0282
"ENSG00000238482",406,"(9.7-17000)",0.00159
"ENSG00000253147",28100,"(52-1.5e+07)",0.00141
"ENSG00000224017",103,"(2.1-5000)",0.0196
"ENSG00000155833",12.8,"(2-83)",0.00723
"ENSG00000234463",1.11e+08,"(140-8.6e+13)",0.00741
"ENSG00000258744",3.48,"(1.3-9)",0.0102
"ENSG00000201919",1960,"(35-110000)",0.000225
"ENSG00000246863",832,"(1.5-480000)",0.038
"ENSG00000235018",2020,"(2-2100000)",0.0316
"ENSG00000281041",3.54e+08,"(20-6.3e+15)",0.0209
"ENSG00000257787",4.39e+08,"(8.8-2.2e+16)",0.0278
"ENSG00000228353",2340,"(14-380000)",0.00279
"ENSG00000258553",46,"(1.4-1500)",0.0328
"ENSG00000229413",0.456,"(0.24-0.86)",0.0147
"ENSG00000206951",9.09,"(2.3-35)",0.00148
"ENSG00000134200",217,"(1.6-30000)",0.0321
"ENSG00000187714",2.56,"(1.5-4.4)",0.00076
"ENSG00000229697",3.56e+08,"(46-2.8e+15)",0.015
"ENSG00000186481",0.138,"(0.022-0.87)",0.0352
"ENSG00000197457",1.71,"(1-2.9)",0.0441
"ENSG00000249965",456,"(4-52000)",0.0112
"ENSG00000234034",22.7,"(1.4-360)",0.0272
"ENSG00000226977",105,"(2.2-5000)",0.0182
"ENSG00000221878",2490,"(1.5-4200000)",0.0389
"ENSG00000255159",1420000,"(170-1.2e+10)",0.0021
"ENSG00000218823",10.1,"(1.4-70)",0.0198
"ENSG00000220660",568,"(12-27000)",0.00135
"ENSG00000225879",167,"(6-4600)",0.00259
"ENSG00000226057",2.1,"(1-4.4)",0.0467
"ENSG00000243995",50.8,"(3.9-660)",0.00261
"ENSG00000204007",6380,"(8.3-4900000)",0.00978
"ENSG00000264637",5740,"(60-550000)",2e-04
"ENSG00000227940",8730,"(20-3700000)",0.00334
"ENSG00000205622",79.6,"(4.4-1400)",0.00299
"ENSG00000234790",605,"(14-26000)",0.000871
"ENSG00000253407",5.81e+15,"(680-5e+28)",0.0169
"ENSG00000256944",43.2,"(4.1-450)",0.00166
"ENSG00000199286",388000,"(110-1.4e+09)",0.00212
"ENSG00000236720",1.56e+14,"(11-2.2e+27)",0.0344
"ENSG00000267978",2.81,"(1.2-6.5)",0.0161
"ENSG00000227290",132,"(4.6-3800)",0.00439
"ENSG00000225050",26.3,"(1.2-590)",0.0392
"ENSG00000261740",0.51,"(0.29-0.9)",0.0207
"ENSG00000241305",6.24e+17,"(2200-1.8e+32)",0.0158
"ENSG00000197157",0.488,"(0.24-0.98)",0.045
"ENSG00000240207",10.4,"(1-110)",0.0487
"ENSG00000248809",440,"(2-99000)",0.0277
"ENSG00000231538",212000,"(2.1-2.1e+10)",0.0367
"ENSG00000163421",3.18,"(1.3-7.8)",0.012
"ENSG00000276487",80.7,"(3.8-1700)",0.00485
"ENSG00000224600",1.52e-06,"(1.4e-11-0.17)",0.0237
"ENSG00000226191",0.00683,"(5.9e-05-0.79)",0.0399
"ENSG00000188050",7.75,"(2.2-27)",0.00139
"ENSG00000259150",1030,"(2.5-430000)",0.0243
"ENSG00000254836",72.7,"(3.6-1500)",0.00521
"ENSG00000237479",1640,"(10-270000)",0.00446
"ENSG00000232261",2.5e+16,"(2800000-2.3e+26)",0.00125
"ENSG00000250344",197000,"(87-4.5e+08)",0.00198
"ENSG00000277041",176,"(3.5-8900)",0.00982
"ENSG00000182348",7250,"(15-3400000)",0.00467
"ENSG00000249690",13.1,"(2.2-79)",0.00504
"ENSG00000230250",30500000,"(1.4-6.6e+14)",0.0455
"ENSG00000238957",62.7,"(2.3-1700)",0.0135
"ENSG00000161180",58.6,"(5.9-580)",0.000486
"ENSG00000276854",1160,"(27-50000)",0.000247
"ENSG00000229630",858000,"(140-5.1e+09)",0.00207
"ENSG00000172421",84900,"(31-2.4e+08)",0.00503
"ENSG00000259241",48700000,"(14-1.7e+14)",0.0211
"ENSG00000239994",42.9,"(1.8-1000)",0.0205
"ENSG00000205495",5.69e+35,"(3.9e+09-8.4e+61)",0.00741
"ENSG00000251873",85.8,"(2.8-2600)",0.0104
"ENSG00000128313",5.27,"(1.3-21)",0.0204
"ENSG00000254123",1070000,"(44-2.6e+10)",0.0071
"ENSG00000250777",15.6,"(1.4-170)",0.0249
"ENSG00000240311",55.7,"(5.6-550)",0.000613
"ENSG00000164237",1.38,"(1-1.9)",0.0477
"ENSG00000259647",8.31,"(1.8-38)",0.00601
"ENSG00000267564",127,"(6.4-2500)",0.0015
"ENSG00000280411",0.852,"(0.73-0.99)",0.039
"ENSG00000227306",5.27,"(1.4-20)",0.0158
"ENSG00000196758",633,"(2.4-160000)",0.023
"ENSG00000211670",0.822,"(0.69-0.99)",0.0356
"ENSG00000237601",219,"(2.3-21000)",0.0205
"ENSG00000205534",0.117,"(0.016-0.88)",0.037
"ENSG00000270945",0.00112,"(1.5e-06-0.84)",0.0444
"ENSG00000260004",1.06e+10,"(120-9.7e+17)",0.0135
"ENSG00000211665",0.673,"(0.45-1)",0.0472
"ENSG00000255329",160,"(1.9-13000)",0.0246
"ENSG00000260387",407000,"(1.4-1.2e+11)",0.0447
"ENSG00000241577",2970,"(18-480000)",0.00208
"ENSG00000258501",1.07e-09,"(6.4e-18-0.18)",0.0326
"ENSG00000228997",573,"(20-17000)",0.000222
"ENSG00000173638",2.01,"(1-3.9)",0.0386
"ENSG00000100024",177,"(3.8-8300)",0.00841
"ENSG00000218194",3.03e+15,"(57000-1.6e+26)",0.00466
"ENSG00000252655",1900000,"(31-1.2e+11)",0.0102
"ENSG00000211599",0.757,"(0.57-1)",0.0494
"ENSG00000234452",117,"(5.1-2700)",0.00284
"ENSG00000147081",2.71,"(1.2-5.9)",0.0119
"ENSG00000255109",56400,"(8.9-3.6e+08)",0.0143
"ENSG00000275001",3220,"(4.3-2400000)",0.0167
"ENSG00000169515",1.54,"(1.1-2.2)",0.022
"ENSG00000251283",232000,"(1.1-5e+10)",0.0486
"ENSG00000175699",463,"(5.2-41000)",0.00742
"ENSG00000232684",87300,"(1.5-5.1e+09)",0.0422
"ENSG00000226673",1.28,"(1-1.6)",0.0325
"ENSG00000260830",8.17,"(1.8-38)",0.00695
"ENSG00000258282",718,"(2.3-230000)",0.0254
"ENSG00000264169",1.92e-10,"(3.6e-19-0.1)",0.029
"ENSG00000267262",516,"(5-53000)",0.00828
"ENSG00000211967",0.797,"(0.66-0.97)",0.0216
"ENSG00000174792",89.5,"(4.9-1600)",0.00248
"ENSG00000250969",1470,"(1.3-1700000)",0.0429
"ENSG00000250316",1.42e+26,"(3.4e+10-5.9e+41)",0.00103
"ENSG00000230490",11.8,"(2.6-53)",0.00128
"ENSG00000271653",22.3,"(1.1-450)",0.0423
"ENSG00000278558",3.35,"(1.4-8)",0.00661
"ENSG00000171495",5.82,"(1.1-30)",0.0343
"ENSG00000281756",0.0506,"(0.0028-0.91)",0.0427
"ENSG00000232462",41.8,"(2.8-630)",0.00682
"ENSG00000257912",1.94e+12,"(81-4.6e+22)",0.0203
"ENSG00000275695",29.8,"(1.5-580)",0.0246
"ENSG00000211848",6.56,"(1-41)",0.0447
"ENSG00000261666",2.1e+13,"(75000-5.9e+21)",0.00199
"ENSG00000223550",41400,"(9.6-1.8e+08)",0.0128
"ENSG00000263220",14.1,"(1.4-140)",0.0251
"ENSG00000226058",71400000,"(190-2.8e+13)",0.00586
"ENSG00000267961",2.64e+17,"(66-1.1e+33)",0.0287
"ENSG00000276352",27.3,"(3-250)",0.00347
"ENSG00000214043",2.53e+18,"(5900000-1.1e+30)",0.00193
"ENSG00000248571",0.00212,"(6.5e-06-0.7)",0.0373
"ENSG00000267252",252,"(3.2-20000)",0.0131
"ENSG00000183733",8.71,"(1.7-45)",0.0103
"ENSG00000106336",2.92,"(1.1-7.6)",0.0293
"ENSG00000173908",2.21e+08,"(2200-2.2e+13)",0.00109
"ENSG00000250822",5.48e+17,"(17000-1.8e+31)",0.0101
"ENSG00000228048",3.37e+28,"(7.2e+15-1.6e+41)",1.02e-05
"ENSG00000233373",4960000,"(6.6-3.8e+12)",0.0256
"ENSG00000280451",104,"(11-960)",4.34e-05
"ENSG00000248483",7320,"(33-1600000)",0.00127
"ENSG00000244486",1.3,"(1-1.7)",0.0362
"ENSG00000224533",5.23e-07,"(3.5e-13-0.78)",0.0461
"ENSG00000254916",14900,"(13-1.7e+07)",0.00753
"ENSG00000131398",2.32,"(1.1-4.7)",0.0207
"ENSG00000267777",400,"(12-13000)",0.000808
"ENSG00000232837",44500,"(7.6-2.6e+08)",0.0157
"ENSG00000105464",2.36,"(1.2-4.5)",0.00865
"ENSG00000258026",565,"(4.4-72000)",0.0105
"ENSG00000178498",1.59,"(1-2.5)",0.0404
"ENSG00000227465",3.3e+16,"(62-1.8e+31)",0.0279
"ENSG00000201348",6870,"(16-3e+06)",0.0043
"ENSG00000130167",4.94,"(1.8-14)",0.00203
"ENSG00000243729",1.29e+22,"(3.2e+12-5.3e+31)",6.53e-06
"ENSG00000232132",3160,"(14-710000)",0.00356
"ENSG00000266357",60.9,"(5.6-660)",0.000727
"ENSG00000162222",3.53,"(1-12)",0.0483
"ENSG00000079393",7.53,"(2.2-26)",0.00127
"ENSG00000233945",18500000,"(340-1e+12)",0.00265
"ENSG00000156795",0.485,"(0.24-0.99)",0.0455
"ENSG00000256694",2.09,"(1.2-3.7)",0.00988
"ENSG00000232562",1.32e+31,"(1.7e+12-1e+50)",0.00125
"ENSG00000231243",329000,"(100-1.1e+09)",0.00205
"ENSG00000240747",2.65,"(1.2-6)",0.0187
"ENSG00000251779",0.0546,"(0.0048-0.62)",0.0194
"ENSG00000236894",892,"(4-2e+05)",0.014
"ENSG00000257523",952000,"(33-2.7e+10)",0.00853
"ENSG00000166329",5,"(1.1-23)",0.0365
"ENSG00000232667",1.63e+13,"(5100-5.2e+22)",0.00644
"ENSG00000244247",4500,"(20-1e+06)",0.00227
"ENSG00000108384",2.66,"(1-6.9)",0.0436
"ENSG00000260402",2.73e+12,"(9900-7.5e+20)",0.00387
"ENSG00000223884",96.3,"(2.7-3400)",0.0122
"ENSG00000250666",36.3,"(3.8-350)",0.00187
"ENSG00000232243",28.7,"(2.7-310)",0.00566
"ENSG00000279676",4.92e+09,"(64000-3.8e+14)",0.000101
"ENSG00000272748",23200,"(34-1.6e+07)",0.0025
"ENSG00000100739",3.96,"(1.3-12)",0.0141
"ENSG00000250678",25.5,"(1.7-380)",0.0192
"ENSG00000115507",1.57,"(1.1-2.2)",0.0105
"ENSG00000253550",1.29e-08,"(5.2e-16-0.32)",0.0365
"ENSG00000234158",6.45e+34,"(4e+12-1e+57)",0.00212
"ENSG00000234162",130,"(3.4-5000)",0.00892
"ENSG00000253205",9.57e+11,"(3400-2.7e+20)",0.00543
"ENSG00000137273",1.3,"(1-1.7)",0.0343
"ENSG00000235050",3.83e+36,"(2.1e+09-6.9e+63)",0.00852
"ENSG00000237298",0.0599,"(0.0038-0.95)",0.0462
"ENSG00000275024",15.1,"(1.8-130)",0.012
"ENSG00000280349",34000,"(41-2.8e+07)",0.00232
"ENSG00000251526",4.76,"(1-22)",0.0472
"ENSG00000269304",20,"(1.4-280)",0.0256
"ENSG00000254584",281,"(8.7-9100)",0.00146
"ENSG00000233426",1.61,"(1-2.6)",0.049
"ENSG00000171916",0.000171,"(3.9e-08-0.76)",0.0429
"ENSG00000249467",10.6,"(2.3-49)",0.00249
"ENSG00000258713",5.96,"(1.9-19)",0.00252
"ENSG00000265897",48.3,"(1.1-2100)",0.0452
"ENSG00000247595",7.41,"(2.1-26)",0.0018
"ENSG00000251294",2.74e+31,"(1.6e+07-4.8e+55)",0.011
"ENSG00000263765",646,"(1.8-240000)",0.0318
"ENSG00000235989",14,"(2.2-90)",0.00533
"ENSG00000151474",1.81,"(1-3.3)",0.0483
"ENSG00000254664",150,"(2.4-9600)",0.018
"ENSG00000214760",0.00211,"(9.8e-06-0.45)",0.0245
"ENSG00000260740",4.76,"(1.7-13)",0.00271
"ENSG00000260264",4.49e+11,"(17000-1.2e+19)",0.00212
"ENSG00000251381",2.43,"(1.2-5)",0.0153
"ENSG00000236776",5580,"(21-1500000)",0.00245
"ENSG00000234813",1870000,"(7.8-4.5e+11)",0.0224
"ENSG00000267623",29300000,"(1400-6e+11)",0.00068
"ENSG00000254451",785,"(6.2-99000)",0.00694
"ENSG00000228308",1.96e+18,"(12000-3.1e+32)",0.0116
"ENSG00000260026",16.6,"(2.2-120)",0.00606
"ENSG00000238719",18.4,"(1.4-240)",0.0258
"ENSG00000128655",2.45,"(1.1-5.5)",0.0301
"ENSG00000224254",34900000,"(8.4-1.4e+14)",0.0255
"ENSG00000215057",1.65e-12,"(3.4e-23-0.079)",0.0306
"ENSG00000174276",2.39,"(1.1-5.3)",0.0301
"ENSG00000109944",3.09,"(1.2-8.3)",0.0242
"ENSG00000258480",6900,"(5.1-9400000)",0.0163
"ENSG00000230627",4550000,"(1000-2.1e+10)",0.000361
"ENSG00000225832",10200,"(1.4-7.3e+07)",0.0416
"ENSG00000215945",1400,"(8.7-220000)",0.00516
"ENSG00000271315",1050,"(2.1-520000)",0.0277
"ENSG00000140274",5.27,"(1.4-20)",0.014
"ENSG00000164645",5.57,"(1.2-25)",0.0251
"ENSG00000198022",2.98e+23,"(210000-4.3e+41)",0.0113
"ENSG00000251680",33000,"(2-5.4e+08)",0.0357
"ENSG00000258516",25300000,"(480-1.3e+12)",0.00212
"ENSG00000236303",89.2,"(2.9-2800)",0.0105
"ENSG00000168367",6.18,"(1-37)",0.047
"ENSG00000149305",3.8,"(1-14)",0.0484
"ENSG00000173728",9.89,"(2.1-46)",0.00365
"ENSG00000267101",322,"(2.6-40000)",0.0189
"ENSG00000212138",14.7,"(1.2-170)",0.0337
"ENSG00000261738",11100,"(48-2500000)",0.000795
"ENSG00000226272",23.1,"(2-270)",0.0121
"ENSG00000232113",33.4,"(3-380)",0.0045
"ENSG00000237732",2.93,"(1.3-6.8)",0.0123
"ENSG00000254048",83900,"(28-2.5e+08)",0.0055
"ENSG00000260151",2.82e+28,"(1.1e+10-6.9e+46)",0.00243
"ENSG00000252945",857,"(36-21000)",3.13e-05
"ENSG00000252125",26.3,"(1.2-570)",0.0374
"ENSG00000279417",1.48e+13,"(6.7-3.3e+25)",0.0365
"ENSG00000183396",7.32,"(1.6-34)",0.0109
"ENSG00000251040",3240,"(10-1e+06)",0.0059
"ENSG00000228740",9.96,"(2-50)",0.00528
"ENSG00000236414",12600,"(2.4-6.7e+07)",0.031
"ENSG00000224149",1.94,"(1-3.7)",0.0416
"ENSG00000234548",82700,"(39-1.8e+08)",0.00378
"ENSG00000147160",0.438,"(0.19-1)",0.0493
"ENSG00000237048",1.1e+18,"(1800-6.9e+32)",0.0168
"ENSG00000207062",0.0968,"(0.011-0.83)",0.0335
"ENSG00000197185",1.67e+20,"(8.8e+07-3.2e+32)",0.00125
"ENSG00000259123",0.0672,"(0.006-0.76)",0.0287
"ENSG00000254076",8.04e+20,"(260-2.4e+39)",0.0266
"ENSG00000226447",5360,"(12-2400000)",0.00594
"ENSG00000182218",3.53,"(1.4-8.6)",0.0058
"ENSG00000232597",6.42e+22,"(1e+08-4e+37)",0.00252
"ENSG00000174684",1.7,"(1-2.8)",0.0393
"ENSG00000266617",41.7,"(2.2-800)",0.0134
"ENSG00000182814",22,"(2.5-190)",0.00535
"ENSG00000271399",1160000,"(120-1.1e+10)",0.00275
"ENSG00000251533",3.19,"(1.3-7.7)",0.00932
"ENSG00000279527",2.26e-05,"(3.8e-09-0.13)",0.0157
"ENSG00000199487",1170,"(1.1-1200000)",0.0467
"ENSG00000165120",4.73,"(1.1-20)",0.0352
"ENSG00000226836",3.75e+08,"(1000-1.4e+14)",0.00256
"ENSG00000261630",8.07e-05,"(7.9e-09-0.82)",0.0454
"ENSG00000167131",3.8e+23,"(5100000-2.8e+40)",0.00615
"ENSG00000267725",770000,"(14-4.1e+10)",0.0147
"ENSG00000230737",3.47e+09,"(3700-3.3e+15)",0.00175
"ENSG00000206676",89.8,"(4-2000)",0.00475
"ENSG00000174898",4.63,"(1-21)",0.0452
"ENSG00000252377",25.2,"(1.3-510)",0.0351
"ENSG00000257129",29400,"(3.7-2.4e+08)",0.0249
"ENSG00000267061",72800000,"(20-2.6e+14)",0.0187
"ENSG00000243849",11100,"(5.3-2.3e+07)",0.017
"ENSG00000228482",1710,"(14-210000)",0.00246
"ENSG00000205359",10.1,"(2-52)",0.00548
"ENSG00000268903",0.759,"(0.61-0.94)",0.0123
"ENSG00000277535",22.8,"(1.8-280)",0.0148
"ENSG00000243583",1380000,"(2-9.6e+11)",0.0394
"ENSG00000185689",14.9,"(2.1-110)",0.00734
"ENSG00000260392",622000,"(42-9.2e+09)",0.00649
"ENSG00000244183",1290,"(1.2-1400000)",0.0442
"ENSG00000268530",263000,"(35-2e+09)",0.0062
"ENSG00000265425",6.12e+14,"(89-4.2e+27)",0.024
"ENSG00000229751",163,"(5.2-5100)",0.00371
"ENSG00000232350",27400,"(29-2.6e+07)",0.00353
"ENSG00000278810",92100,"(2.4-3.5e+09)",0.0338
"ENSG00000225413",25,"(2.5-250)",0.00609
"ENSG00000269176",4.55,"(1.5-14)",0.00875
"ENSG00000238277",1.02e+11,"(28-3.8e+20)",0.0241
"ENSG00000224662",818,"(1.2-560000)",0.0442
"ENSG00000171307",3.13,"(1.1-8.7)",0.0286
"ENSG00000237853",101,"(5-2000)",0.0026
"ENSG00000265879",27.5,"(1.4-540)",0.0287
"ENSG00000236133",169,"(5.8-4900)",0.00283
"ENSG00000244356",56200,"(1.2-2.6e+09)",0.0462
"ENSG00000256686",4.07,"(1.2-13)",0.0207
"ENSG00000203434",16.9,"(1-280)",0.0473
"ENSG00000187753",95.3,"(4.8-1900)",0.0028
"ENSG00000240651",1980000,"(10-3.7e+11)",0.0193
"ENSG00000243197",1050,"(10-110000)",0.00321
"ENSG00000259788",267000,"(39-1.8e+09)",0.00553
"ENSG00000204614",126,"(1.1-14000)",0.044
"ENSG00000278109",105000,"(110-9.8e+07)",0.000921
"ENSG00000227873",3050000,"(10-9e+11)",0.0202
"ENSG00000281566",0.601,"(0.37-0.97)",0.036
"ENSG00000249225",5.93e+19,"(4.9e+09-7.1e+29)",0.000121
"ENSG00000186150",3.64,"(1.5-8.6)",0.00307
"ENSG00000250481",6270,"(8.4-4700000)",0.00962
"ENSG00000205177",129,"(9.3-1800)",0.000285
"ENSG00000257784",11.4,"(2.5-52)",0.00174
"ENSG00000260325",7.92,"(1.3-49)",0.0258
"ENSG00000223013",316,"(7.1-14000)",0.003
"ENSG00000255206",12900000,"(300-5.5e+11)",0.00261
