"gene","HR","95% CI","p.value"
"ENSG00000235279",1.04e+08,"(180-5.9e+13)",0.00633
"ENSG00000232775",2540,"(10-620000)",0.00519
"ENSG00000226141",2.06,"(1.1-3.7)",0.0152
"ENSG00000239197",1.69,"(1.1-2.7)",0.029
"ENSG00000259371",39700,"(13-1.2e+08)",0.00994
"ENSG00000230005",1970,"(2.1-1800000)",0.0297
"ENSG00000257097",91600,"(12-6.9e+08)",0.0121
"ENSG00000220378",12.6,"(1.7-94)",0.0137
"ENSG00000277173",1550,"(3.5-7e+05)",0.0184
"ENSG00000182583",1.57,"(1.1-2.3)",0.016
"ENSG00000272226",26,"(1.8-380)",0.0177
"ENSG00000215972",3.41,"(1.2-9.7)",0.0217
"ENSG00000228730",9.62e+08,"(16-5.8e+16)",0.0236
"ENSG00000220139",156000,"(1.2-2e+10)",0.0467
"ENSG00000222736",7770,"(8.2-7300000)",0.0104
"ENSG00000138892",3160,"(19-520000)",0.00198
"ENSG00000100867",2.61,"(1.4-4.8)",0.0019
"ENSG00000278321",80,"(1.2-5300)",0.0407
"ENSG00000228718",33.7,"(2.3-500)",0.0105
"ENSG00000239182",36.5,"(1.5-860)",0.0259
"ENSG00000254431",0.494,"(0.25-0.99)",0.0457
"ENSG00000214819",523,"(9.6-28000)",0.00214
"ENSG00000244953",9.43,"(1.4-63)",0.021
"ENSG00000225063",276,"(1.8-43000)",0.0291
"ENSG00000198488",9.16,"(1-82)",0.048
"ENSG00000177553",1.15e+10,"(140-9.3e+17)",0.0127
"ENSG00000204669",8.43,"(1.1-62)",0.0366
"ENSG00000258390",1190,"(3.4-420000)",0.0176
"ENSG00000271536",1.9e+08,"(83-4.4e+14)",0.0107
"ENSG00000225881",654,"(10-42000)",0.00227
"ENSG00000259708",9470,"(32-2800000)",0.0016
"ENSG00000258843",14.5,"(2.1-99)",0.00621
"ENSG00000280473",3.21,"(1.2-8.2)",0.0156
"ENSG00000277661",254,"(1.6-40000)",0.032
"ENSG00000251761",2130,"(11-4e+05)",0.00411
"ENSG00000276949",16800,"(7.1-4e+07)",0.0141
"ENSG00000270624",14.8,"(3.3-66)",0.000415
"ENSG00000240205",1390,"(19-1e+05)",0.000925
"ENSG00000240882",17.7,"(1-300)",0.0466
"ENSG00000241131",1.83,"(1.1-3)",0.0134
"ENSG00000249387",3870,"(1.1-1.3e+07)",0.0467
"ENSG00000258766",1.29e+10,"(8200-2e+16)",0.00138
"ENSG00000243679",0.56,"(0.34-0.91)",0.0196
"ENSG00000271335",2.7,"(1.1-6.4)",0.0245
"ENSG00000226446",3.72e+11,"(11-1.2e+22)",0.031
"ENSG00000260520",189,"(4.2-8500)",0.00687
"ENSG00000104918",2.85,"(1.3-6)",0.00618
"ENSG00000272724",0.00451,"(5.1e-05-0.39)",0.0179
"ENSG00000261080",2730,"(12-630000)",0.00435
"ENSG00000236807",7200,"(4.5-1.1e+07)",0.0182
"ENSG00000248360",11,"(2-59)",0.00518
"ENSG00000242385",1640,"(6.2-430000)",0.00929
"ENSG00000225263",234000,"(84-6.5e+08)",0.00227
"ENSG00000183310",1.24e+51,"(1.3e+12-1.2e+90)",0.0102
"ENSG00000226519",4.02,"(1.1-15)",0.0346
"ENSG00000280147",1.55e+11,"(25-9.6e+20)",0.0251
"ENSG00000150676",12.7,"(2.4-68)",0.00292
"ENSG00000258419",2.01e+15,"(120000-3.2e+25)",0.0033
"ENSG00000274514",13.3,"(1.7-100)",0.0133
"ENSG00000263399",93.9,"(2.7-3300)",0.0126
"ENSG00000224394",11600,"(28-4800000)",0.00235
"ENSG00000260394",1720,"(5.7-520000)",0.0106
"ENSG00000267784",5.31e+09,"(3-9.4e+18)",0.0393
"ENSG00000222941",49800,"(35-7.1e+07)",0.00352
"ENSG00000259541",2.94e+09,"(5.5-1.6e+18)",0.0335
"ENSG00000234109",8.28e-08,"(2.7e-14-0.26)",0.0325
"ENSG00000203472",993000,"(53-1.8e+10)",0.0059
"ENSG00000202167",111000,"(23-5.2e+08)",0.00716
"ENSG00000244021",0.0479,"(0.0055-0.41)",0.00572
"ENSG00000151360",43.1,"(4-460)",0.00188
