"cancer_type","dataset","event","ENSEMBL","KM_median_HR","KM_median_p","KM_median_lower","KM_median_upper","KM_optimal_HR","KM_optimal_p","KM_optimal_lower","KM_optimal_upper"
"TGCT","GSE10783_96","OS","ENSG00000109016",1.61558865530965,0.453355441015705,0.455579351348414,5.72924715626347,2.47284860159804,0.147131387328868,0.697196864457527,8.77080853079181
"TGCT","GSE10783_96","OS","ENSG00000104833",0.0895433805833451,0.00405661680645471,0.011312837159622,0.708753860164435,0.0895433805833451,0.00405661680645471,0.011312837159622,0.708753860164435
"TGCT","GSE10783_96","OS","ENSG00000135111",2.79740384462511,0.120765398290566,0.720568325482479,10.860133582313,3.76604791812893,0.0725468075868744,0.79642549066037,17.8084668157508
"TGCT","GSE10783_96","OS","ENSG00000130775",0.177455440037495,0.0143822766616177,0.0374021583597045,0.841941603905602,0.193563730344143,0.00519100232666993,0.0538901352140094,0.695246310961194
"TGCT","GSE10783_96","OS","ENSG00000198053",0.585208659774185,0.401859581953499,0.164749711404183,2.07872397806218,0.384149160381739,0.151121005314059,0.09901220962368,1.49042807935378
"TGCT","GSE10783_96","OS","ENSG00000131652",1.04257540878301,0.947495453139658,0.301394246109486,3.60645067724422,4.38364121265356,0.125643487038222,0.55460554623956,34.6486082073444
"TGCT","GSE10783_96","OS","ENSG00000104375",2.45411974099985,0.178808565291971,0.63425317054108,9.49574079074324,5.11768479686797,0.0085752272660211,1.31969138907314,19.846077573097
"TGCT","GSE10783_96","OS","ENSG00000164900",2.80574284857814,0.118903954874488,0.724157742747803,10.8708261579535,3.88926953324388,0.024645733457125,1.08732264523056,13.9116182014325
"TGCT","GSE10783_96","OS","ENSG00000188566",2.81230516046709,0.118052174597321,0.725741211916494,10.8979071130659,359392635.534294,0.0224903587843462,0,Inf
"TGCT","GSE10783_96","OS","ENSG00000110876",0.333383421174298,0.0956606987311407,0.0858495309128057,1.29464313121017,0.211748949319654,0.0140797232262568,0.054240569866899,0.82664355570018
"TGCT","GSE10783_96","OS","ENSG00000181458",2.46270252134033,0.177020871061111,0.636459027476003,9.52913455036926,3.77329159952933,0.0389234190214566,0.974046963504813,14.6170872951017
"TGCT","GSE10783_96","OS","ENSG00000172613",0.66070702015324,0.518108945578229,0.186310485976752,2.34304453767699,0.396268650469315,0.225558711892452,0.0840393852918382,1.86851489690778
"TGCT","GSE10783_96","OS","ENSG00000102904",1.19106833984383,0.782211389247207,0.344239463360684,4.12109575215067,5.08420580102681,0.0859326010116377,0.643641701729527,40.1607735448706
"TGCT","GSE10783_96","OS","ENSG00000105325",2.93807287145417,0.10211544449889,0.75793528070807,11.3891943252867,4.13187671873929,0.0520975772268336,0.874539771702183,19.5215881212932
"TGCT","GSE10783_96","OS","ENSG00000122965",1.09769710475513,0.882864492273949,0.317521404517805,3.79482742468227,2.12467936770574,0.329437291281196,0.450727349591345,10.0155058698953
"TGCT","GSE10783_96","OS","ENSG00000100726",1.55654272161239,0.49087924588415,0.437590952407491,5.53673523384081,6.86097548318963,0.0342553213249851,0.867085722395232,54.2887322038876
"TGCT","GSE10783_96","OS","ENSG00000166851",1.14732121924209,0.827968844543007,0.3318523477787,3.96666164616374,365848017.410948,0.0210463656835748,0,Inf
"TGCT","GSE10783_96","OS","ENSG00000162591",0.96058093099563,0.949328275182035,0.277859662965868,3.32079768305836,0.551642561018822,0.340824888676853,0.15932994307653,1.90993299345647
"TGCT","GSE10783_96","OS","ENSG00000214944",1.67590566866889,0.419019783660614,0.47243235223085,5.94510472666381,1.92806930485206,0.301098248350404,0.543279774675226,6.84260931034109
"TGCT","GSE10783_96","OS","ENSG00000196220",0.687194687362848,0.558990429525573,0.193829653138597,2.436348260924,0.14894782340072,0.0366892248924508,0.0188469993920635,1.17713454721892
"TGCT","GSE10783_96","OS","ENSG00000157911",0.677588118717498,0.544198627841173,0.191095009227228,2.40260413123181,0.317266620019221,0.125823828804473,0.0672524963100639,1.49671928480308
"TGCT","GSE10783_96","OS","ENSG00000070614",0.982032225026666,0.977135555836371,0.284202651176545,3.3933085669625,0.411316194996011,0.246114727234048,0.0872270971686076,1.93954651430134
"TGCT","GSE10783_96","OS","ENSG00000204084",0.367132753139164,0.130566945029947,0.0948220980500002,1.42146673823299,0.314029689425475,0.0537173849661659,0.0906227206929012,1.08818897828992
